3.9997720	-367.27504     1245.0764    -74.462366     -510.97906    292.52971
4.0205198	-343.46350     1166.5535    -69.650538     -492.95416    260.56876
4.0412677	-319.90662     1088.4550    -64.892473     -474.92926    228.86248
4.0620155	-296.60441     1011.6299    -60.188172     -457.08829    197.79287
4.0827633	-273.81154     936.50255    -55.618280     -439.61517    167.48727
4.1035112	-251.91002     863.49745    -51.155914     -422.32598    138.32767
4.1242590	-230.77250     793.88795    -46.908602     -405.58857    110.44143
4.1450068	-210.65365     727.24958    -42.849462     -389.21902    84.465195
4.1657547	-191.80815     664.85569    -39.059140     -373.58517    60.271647
4.1865025	-174.49066     607.13073    -35.537634     -358.50311    38.370119
4.2000684	-163.92190     571.90153    -33.413978     -349.12281    25.382003
4.2208162	-149.15110     522.66553    -30.456989     -335.32824    7.6825127
4.2415641	-136.03565     478.94737    -27.795699     -322.26938    -7.4702886
4.2623119	-124.32088     439.47368    -25.430108     -310.13016    -20.458404
4.2830597	-113.87946     404.24448    -23.333333     -298.35880    -31.536503
4.3038076	-104.58404     372.41087    -21.451613     -287.32315    -40.831919
4.3245554	-96.307301     344.39728    -19.784946     -276.83928    -48.599321
4.3453032	-88.921902     318.93039    -18.279570     -266.90719    -55.093379
4.3660511	-82.173175     295.58574    -16.935484     -257.34295    -60.568761
4.3867989	-75.933786     274.36333    -15.672043     -248.14658    -65.152801
4.4003648	-72.113752     261.20543    -14.919355     -242.26089    -67.954160
4.4211126	-66.511036     242.10526    -13.817204     -233.61630    -71.774194
4.4418605	-61.290323     223.85399    -12.768817     -225.15563    -75.339559
4.4626083	-56.451613     206.87606    -11.774194     -217.24675    -78.395586
4.4833561	-51.740238     190.74703    -10.860215     -209.33786    -81.069610
4.5041040	-47.410866     175.89134    -10.000000     -201.79683    -83.488964
4.5248518	-43.463497     161.88455    -9.1935484     -194.62366    -85.526316
4.5455996	-39.643463     148.72666    -8.4408602     -187.81834    -87.181664
4.5663475	-36.205433     136.41766    -7.7688172     -181.01302    -88.455008
4.5870953	-33.022071     125.38200    -7.1236559     -174.75948    -89.473684
4.5998632	-31.239389     119.01528    -6.7741935     -170.89700    -89.855688
4.6206110	-28.565365     109.25297    -6.2365591     -165.01132    -90.365025
4.6413589	-26.018676     100.76401    -5.7258065     -159.30956    -90.492360
4.6621067	-23.726655     92.699491    -5.2956989     -153.79174    -90.365025
4.6828545	-21.689304     85.059423    -4.8924731     -148.64177    -89.983022
4.7036024	-19.906621     78.692699    -4.5161290     -143.67572    -89.473684
4.7243502	-18.251273     72.750424    -4.1935484     -138.89360    -88.709677
4.7450980	-16.723260     67.232598    -3.8978495     -134.29542    -87.818336
4.7658459	-15.322581     62.139219    -3.6021505     -129.88115    -86.799660
4.7865937	-14.049236     57.470289    -3.3602151     -125.65082    -85.780985
4.8001596	-13.285229     54.499151    -3.1989247     -122.89191    -85.016978
4.8209074	-12.139219     50.254669    -2.9838710     -118.84550    -83.870968
4.8416553	-11.120543     46.434635    -2.7688172     -114.98302    -82.597623
4.8624031	-10.229202     43.039049    -2.5806452     -111.30447    -81.324278
4.8831509	-9.3378608     39.643463    -2.3924731     -107.80985    -80.050934
4.9038988	-8.4465195     36.247878    -2.2043011     -104.31522    -78.650255
4.9246466	-7.6825127     33.701188    -2.0698925     -101.00453    -77.376910
4.9453944	-7.0458404     30.730051    -1.9086022     -97.693831    -75.976231
4.9661423	-6.4091681     28.183362    -1.7741935     -94.750990    -74.575552
4.9868901	-5.8998302     26.061121    -1.6666667     -91.808149    -73.174873
4.9996580	-5.5178268     24.787776    -1.5860215     -89.968874    -72.283531
5.0204058	-5.0084890     22.665535    -1.4784946     -87.209960    -70.882852
5.0411537	-4.6264856     20.967742    -1.3709677     -84.451047    -69.482173
5.0619015	-4.1171477     19.269949    -1.2903226     -81.876061    -67.954160
5.0826493	-3.7351443     17.572156    -1.2096774     -79.485003    -66.553480
5.1033972	-3.4804754     16.298812    -1.1290323     -77.093945    -65.152801
5.1241450	-3.0984720     15.025467    -1.0483871     -74.702886    -63.752122
5.1448928	-2.8438031     13.752122    -0.99462366    -72.495756    -62.351443
5.1656407	-2.5891341     12.903226    -0.91397849    -70.288625    -60.950764
5.1863885	-2.3344652     11.629881    -0.86021505    -68.265422    -59.550085
5.1999544	-2.2071307     11.205433    -0.83333333    -66.977929    -58.658744
5.2207022	-1.9524618     10.356537    -0.77956989    -64.954726    -57.258065
5.2414501	-1.8251273     9.5076401    -0.72580645    -63.115450    -55.984720
5.2621979	-1.6977929     8.6587436    -0.69892473    -61.276174    -54.711375
5.2829457	-1.4431239     8.2342954    -0.64516129    -59.620826    -53.438031
5.3036936	-1.3157895     7.3853990    -0.61827957    -57.781551    -52.164686
5.3244414	-1.1884550     6.9609508    -0.56451613    -56.126203    -51.018676
5.3451892	-1.0611205     6.5365025    -0.53763441    -54.654782    -49.745331
5.3659371	-0.93378608    6.1120543    -0.51075269    -52.999434    -48.599321
5.3866849	-0.93378608    5.6876061    -0.48387097    -51.528014    -47.453311
5.4002508	-0.80645161    5.2631579    -0.45698925    -50.608376    -46.689304
5.4209986	-0.67911715    4.8387097    -0.43010753    -49.136955    -45.543294
5.4417465	-0.67911715    4.4142615    -0.40322581    -47.849462    -44.524618
5.4624943	-0.55178268    3.9898132    -0.37634409    -46.561969    -43.378608
5.4832421	-0.42444822    3.9898132    -0.37634409    -45.090549    -42.359932
5.5039900	-0.42444822    3.5653650    -0.34946237    -43.986984    -41.341256
5.5247378	-0.29711375    3.1409168    -0.32258065    -42.699491    -40.322581
5.5454856	-0.29711375    2.7164686    -0.29569892    -41.595925    -39.303905
5.5662335	-0.16977929    2.7164686    -0.29569892    -40.492360    -38.412564
5.5869813	-0.16977929    2.2920204    -0.26881720    -39.388795    -37.393888
5.5997492	-0.16977929    2.2920204    -0.26881720    -38.653084    -36.884550
5.6204970	-0.16977929    2.2920204    -0.24193548    -37.549519    -35.993209
5.6412449	-0.16977929    1.8675722    -0.24193548    -36.629881    -35.101868
5.6619927	-0.042444822   1.8675722    -0.21505376    -35.710243    -34.210526
5.6827405	-0.042444822   1.4431239    -0.21505376    -34.790606    -33.446520
5.7034884	-0.042444822   1.4431239    -0.21505376    -33.870968    -32.555178
5.7242362	-0.042444822   1.4431239    -0.18817204    -32.951330    -31.791171
5.7449840	-0.042444822   1.4431239    -0.18817204    -32.031692    -31.027165
5.7657319	-0.042444822   1.0186757    -0.18817204    -31.295982    -30.263158
