                                                  
                                                                                                                                                                                                                                                                
 Result for angle 0
      R       E_CP      E_COMPLEX        E_NCO          E_AR
    3.0   27135.21   -694.7550577   -167.8028294   -527.0758653
    3.5    3891.47   -694.8602840   -167.8026576   -527.0753572
    4.0     296.71   -694.8764334   -167.8025855   -527.0751997
    4.5     -94.30   -694.8780969   -167.8025364   -527.0751308
    5.0     -78.30   -694.8779759   -167.8025162   -527.0751029
    5.5     -43.55   -694.8777900   -167.8025061   -527.0750854
    6.0     -23.60   -694.8776803   -167.8024989   -527.0750738
    6.5     -13.33   -694.8776243   -167.8024959   -527.0750676
    7.0      -7.92   -694.8775945   -167.8024945   -527.0750638
                                                  
