                                                  
                                                                                                                                                                                                                                                                
 Result for angle 105
      R      E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   6436.71   -694.7821823   -167.7618949   -527.0496152
    2.6   4486.60   -694.7908881   -167.7618452   -527.0494854
    2.7   3077.35   -694.7971596   -167.7618030   -527.0493780
    2.8   2068.35   -694.8016327   -167.7617670   -527.0492898
    2.9   1353.16   -694.8047884   -167.7617361   -527.0492177
    3.0    851.91   -694.8069867   -167.7617096   -527.0491586
    3.1    505.19   -694.8084951   -167.7616870   -527.0491098
    3.2    269.22   -694.8095105   -167.7616680   -527.0490691
    3.3    111.78   -694.8101769   -167.7616520   -527.0490342
    3.4      9.64   -694.8105982   -167.7616385   -527.0490036
    3.5    -54.23   -694.8108506   -167.7616270   -527.0489766
    3.6    -91.64   -694.8109868   -167.7616170   -527.0489523
    3.7   -111.22   -694.8110454   -167.7616081   -527.0489305
    3.8   -119.00   -694.8110534   -167.7616001   -527.0489110
    3.9   -119.20   -694.8110297   -167.7615929   -527.0488937
    4.0   -114.74   -694.8109874   -167.7615862   -527.0488784
    4.1   -107.59   -694.8109353   -167.7615801   -527.0488650
    4.2    -99.09   -694.8108792   -167.7615745   -527.0488532
    4.3    -90.13   -694.8108229   -167.7615693   -527.0488429
    4.4    -81.25   -694.8107687   -167.7615646   -527.0488339
    4.5    -72.79   -694.8107181   -167.7615604   -527.0488260
    4.6    -64.93   -694.8106717   -167.7615566   -527.0488192
    4.7    -57.76   -694.8106297   -167.7615533   -527.0488132
    4.8    -51.29   -694.8105922   -167.7615505   -527.0488080
    4.9    -45.51   -694.8105590   -167.7615481   -527.0488035
    5.0    -40.38   -694.8105297   -167.7615462   -527.0487996
    5.1    -35.84   -694.8105040   -167.7615446   -527.0487961
    5.2    -31.83   -694.8104814   -167.7615434   -527.0487930
    5.3    -28.31   -694.8104616   -167.7615424   -527.0487902
    5.4    -25.21   -694.8104442   -167.7615416   -527.0487877
    5.5    -22.48   -694.8104289   -167.7615410   -527.0487854
    5.6    -20.08   -694.8104153   -167.7615405   -527.0487833
    5.7    -17.97   -694.8104033   -167.7615401   -527.0487814
    5.8    -16.11   -694.8103927   -167.7615397   -527.0487796
    5.9    -14.47   -694.8103832   -167.7615393   -527.0487780
    6.0    -13.01   -694.8103747   -167.7615389   -527.0487765
    6.1    -11.73   -694.8103671   -167.7615385   -527.0487751
    6.2    -10.59   -694.8103602   -167.7615381   -527.0487739
    6.3     -9.58   -694.8103541   -167.7615377   -527.0487727
    6.4     -8.68   -694.8103485   -167.7615373   -527.0487716
    6.5     -7.88   -694.8103434   -167.7615369   -527.0487706
    6.6     -7.16   -694.8103388   -167.7615366   -527.0487696
    6.7     -6.53   -694.8103347   -167.7615362   -527.0487687
    6.8     -5.95   -694.8103308   -167.7615359   -527.0487678
    6.9     -5.44   -694.8103273   -167.7615356   -527.0487669
    7.0     -4.97   -694.8103241   -167.7615353   -527.0487661
    7.1     -4.55   -694.8103211   -167.7615350   -527.0487654
    7.2     -4.18   -694.8103184   -167.7615348   -527.0487646
    7.3     -3.84   -694.8103159   -167.7615345   -527.0487640
    7.4     -3.53   -694.8103137   -167.7615343   -527.0487633
    7.5     -3.25   -694.8103116   -167.7615341   -527.0487628
    7.6     -2.99   -694.8103097   -167.7615339   -527.0487622
    7.7     -2.76   -694.8103080   -167.7615337   -527.0487617
    7.8     -2.55   -694.8103065   -167.7615335   -527.0487613
    7.9     -2.36   -694.8103051   -167.7615334   -527.0487609
    8.0     -2.19   -694.8103038   -167.7615332   -527.0487606
    8.1     -2.03   -694.8103026   -167.7615331   -527.0487603
    8.2     -1.88   -694.8103016   -167.7615330   -527.0487600
    8.3     -1.75   -694.8103006   -167.7615329   -527.0487598
    8.4     -1.63   -694.8102998   -167.7615328   -527.0487595
    8.5     -1.52   -694.8102990   -167.7615328   -527.0487594
    8.6     -1.41   -694.8102984   -167.7615327   -527.0487592
    8.7     -1.32   -694.8102977   -167.7615326   -527.0487591
    8.8     -1.23   -694.8102972   -167.7615326   -527.0487590
    8.9     -1.15   -694.8102967   -167.7615326   -527.0487589
    9.0     -1.08   -694.8102962   -167.7615325   -527.0487588
    9.1     -1.01   -694.8102958   -167.7615325   -527.0487587
    9.2     -0.95   -694.8102954   -167.7615325   -527.0487586
    9.3     -0.89   -694.8102951   -167.7615325   -527.0487586
    9.4     -0.84   -694.8102948   -167.7615324   -527.0487585
    9.5     -0.79   -694.8102945   -167.7615324   -527.0487585
    9.6     -0.74   -694.8102943   -167.7615324   -527.0487585
    9.7     -0.70   -694.8102940   -167.7615324   -527.0487585
    9.8     -0.66   -694.8102938   -167.7615324   -527.0487584
    9.9     -0.62   -694.8102936   -167.7615324   -527.0487584
   10.0     -0.58   -694.8102935   -167.7615324   -527.0487584
                                                  
