                                                  
                                                                                                                                                                                                                                                                
 Result for angle 75
      R      E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   5019.47   -694.7886135   -167.7618919   -527.0495920
    2.6   3352.27   -694.7960340   -167.7618431   -527.0494649
    2.7   2182.72   -694.8012142   -167.7617996   -527.0493598
    2.8   1372.37   -694.8047808   -167.7617608   -527.0492730
    2.9    818.74   -694.8071971   -167.7617261   -527.0492014
    3.0    446.85   -694.8088020   -167.7616957   -527.0491423
    3.1    202.22   -694.8098416   -167.7616697   -527.0490933
    3.2     45.70   -694.8104921   -167.7616479   -527.0490525
    3.3    -50.59   -694.8108786   -167.7616303   -527.0490178
    3.4   -106.27   -694.8110887   -167.7616165   -527.0489879
    3.5   -135.11   -694.8111834   -167.7616058   -527.0489620
    3.6   -146.58   -694.8112045   -167.7615974   -527.0489392
    3.7   -147.18   -694.8111804   -167.7615906   -527.0489192
    3.8   -141.30   -694.8111301   -167.7615846   -527.0489017
    3.9   -131.82   -694.8110662   -167.7615793   -527.0488862
    4.0   -120.67   -694.8109967   -167.7615743   -527.0488726
    4.1   -109.04   -694.8109269   -167.7615695   -527.0488606
    4.2    -97.64   -694.8108598   -167.7615650   -527.0488499
    4.3    -86.89   -694.8107971   -167.7615608   -527.0488403
    4.4    -77.02   -694.8107397   -167.7615570   -527.0488317
    4.5    -68.09   -694.8106879   -167.7615536   -527.0488240
    4.6    -60.12   -694.8106418   -167.7615507   -527.0488172
    4.7    -53.05   -694.8106011   -167.7615481   -527.0488112
    4.8    -46.82   -694.8105653   -167.7615460   -527.0488060
    4.9    -41.35   -694.8105341   -167.7615442   -527.0488015
    5.0    -36.56   -694.8105070   -167.7615427   -527.0487977
    5.1    -32.37   -694.8104834   -167.7615415   -527.0487944
    5.2    -28.70   -694.8104628   -167.7615406   -527.0487915
    5.3    -25.49   -694.8104448   -167.7615398   -527.0487889
    5.4    -22.68   -694.8104291   -167.7615391   -527.0487866
    5.5    -20.22   -694.8104153   -167.7615386   -527.0487845
    5.6    -18.06   -694.8104030   -167.7615382   -527.0487826
    5.7    -16.17   -694.8103922   -167.7615378   -527.0487807
    5.8    -14.50   -694.8103826   -167.7615374   -527.0487791
    5.9    -13.04   -694.8103740   -167.7615371   -527.0487775
    6.0    -11.74   -694.8103664   -167.7615368   -527.0487761
    6.1    -10.59   -694.8103596   -167.7615365   -527.0487748
    6.2     -9.58   -694.8103534   -167.7615363   -527.0487735
    6.3     -8.67   -694.8103479   -167.7615360   -527.0487724
    6.4     -7.87   -694.8103429   -167.7615357   -527.0487713
    6.5     -7.15   -694.8103384   -167.7615355   -527.0487703
    6.6     -6.51   -694.8103343   -167.7615353   -527.0487694
    6.7     -5.94   -694.8103306   -167.7615350   -527.0487685
    6.8     -5.42   -694.8103271   -167.7615348   -527.0487676
    6.9     -4.96   -694.8103240   -167.7615346   -527.0487668
    7.0     -4.54   -694.8103211   -167.7615344   -527.0487660
    7.1     -4.16   -694.8103185   -167.7615342   -527.0487653
    7.2     -3.82   -694.8103161   -167.7615341   -527.0487646
    7.3     -3.52   -694.8103138   -167.7615339   -527.0487639
    7.4     -3.24   -694.8103118   -167.7615338   -527.0487633
    7.5     -2.98   -694.8103099   -167.7615336   -527.0487627
    7.6     -2.75   -694.8103083   -167.7615335   -527.0487622
    7.7     -2.55   -694.8103067   -167.7615334   -527.0487618
    7.8     -2.35   -694.8103053   -167.7615332   -527.0487613
    7.9     -2.18   -694.8103040   -167.7615331   -527.0487609
    8.0     -2.02   -694.8103029   -167.7615330   -527.0487606
    8.1     -1.88   -694.8103018   -167.7615330   -527.0487603
    8.2     -1.74   -694.8103009   -167.7615329   -527.0487600
    8.3     -1.62   -694.8103000   -167.7615328   -527.0487598
    8.4     -1.51   -694.8102992   -167.7615328   -527.0487596
    8.5     -1.41   -694.8102985   -167.7615327   -527.0487594
    8.6     -1.32   -694.8102979   -167.7615327   -527.0487592
    8.7     -1.23   -694.8102973   -167.7615326   -527.0487591
    8.8     -1.15   -694.8102968   -167.7615326   -527.0487590
    8.9     -1.08   -694.8102963   -167.7615325   -527.0487589
    9.0     -1.01   -694.8102959   -167.7615325   -527.0487588
    9.1     -0.94   -694.8102955   -167.7615325   -527.0487587
    9.2     -0.89   -694.8102952   -167.7615325   -527.0487586
    9.3     -0.83   -694.8102948   -167.7615325   -527.0487586
    9.4     -0.78   -694.8102946   -167.7615324   -527.0487586
    9.5     -0.74   -694.8102943   -167.7615324   -527.0487585
    9.6     -0.69   -694.8102941   -167.7615324   -527.0487585
    9.7     -0.65   -694.8102939   -167.7615324   -527.0487585
    9.8     -0.62   -694.8102937   -167.7615324   -527.0487584
    9.9     -0.58   -694.8102935   -167.7615324   -527.0487584
   10.0     -0.55   -694.8102933   -167.7615324   -527.0487584
                                                  
