                                                  
                                                                                                                                                                                                                                                                
 Result for angle 135
      R       E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   36766.75   -694.6455640   -167.7623254   -527.0507603
    2.6   27660.71   -694.6866281   -167.7622167   -527.0504428
    2.7   20589.88   -694.7184841   -167.7621236   -527.0501749
    2.8   15170.95   -694.7428685   -167.7620427   -527.0499497
    2.9   11065.45   -694.7613151   -167.7619721   -527.0497609
    3.0    7986.63   -694.7751244   -167.7619109   -527.0496032
    3.1    5699.39   -694.7853626   -167.7618590   -527.0494719
    3.2    4015.52   -694.7928829   -167.7618160   -527.0493630
    3.3    2787.07   -694.7983555   -167.7617812   -527.0492731
    3.4    1899.16   -694.8022987   -167.7617525   -527.0491994
    3.5    1263.70   -694.8051098   -167.7617287   -527.0491390
    3.6     813.89   -694.8070893   -167.7617080   -527.0490896
    3.7     499.50   -694.8084628   -167.7616895   -527.0490491
    3.8     282.96   -694.8093985   -167.7616724   -527.0490154
    3.9     136.56   -694.8100209   -167.7616562   -527.0489869
    4.0      39.96   -694.8104214   -167.7616411   -527.0489623
    4.1     -21.68   -694.8106668   -167.7616274   -527.0489406
    4.2     -59.08   -694.8108055   -167.7616152   -527.0489211
    4.3     -79.92   -694.8108725   -167.7616049   -527.0489034
    4.4     -89.67   -694.8108923   -167.7615964   -527.0488873
    4.5     -92.20   -694.8108823   -167.7615895   -527.0488727
    4.6     -90.18   -694.8108544   -167.7615838   -527.0488597
    4.7     -85.47   -694.8108166   -167.7615790   -527.0488482
    4.8     -79.30   -694.8107742   -167.7615749   -527.0488380
    4.9     -72.51   -694.8107308   -167.7615713   -527.0488292
    5.0     -65.64   -694.8106885   -167.7615679   -527.0488215
    5.1     -59.01   -694.8106487   -167.7615649   -527.0488149
    5.2     -52.79   -694.8106119   -167.7615620   -527.0488093
    5.3     -47.09   -694.8105786   -167.7615595   -527.0488046
    5.4     -41.93   -694.8105488   -167.7615572   -527.0488006
    5.5     -37.31   -694.8105223   -167.7615552   -527.0487971
    5.6     -33.20   -694.8104988   -167.7615534   -527.0487941
    5.7     -29.56   -694.8104780   -167.7615520   -527.0487914
    5.8     -26.34   -694.8104596   -167.7615507   -527.0487889
    5.9     -23.50   -694.8104433   -167.7615496   -527.0487866
    6.0     -20.99   -694.8104287   -167.7615487   -527.0487844
    6.1     -18.78   -694.8104158   -167.7615478   -527.0487824
    6.2     -16.83   -694.8104042   -167.7615469   -527.0487805
    6.3     -15.11   -694.8103937   -167.7615461   -527.0487788
    6.4     -13.59   -694.8103844   -167.7615453   -527.0487772
    6.5     -12.24   -694.8103759   -167.7615445   -527.0487757
    6.6     -11.04   -694.8103683   -167.7615437   -527.0487743
    6.7      -9.98   -694.8103614   -167.7615429   -527.0487730
    6.8      -9.04   -694.8103551   -167.7615422   -527.0487718
    6.9      -8.19   -694.8103494   -167.7615415   -527.0487706
    7.0      -7.44   -694.8103442   -167.7615408   -527.0487696
    7.1      -6.77   -694.8103395   -167.7615401   -527.0487685
    7.2      -6.17   -694.8103351   -167.7615394   -527.0487676
    7.3      -5.63   -694.8103311   -167.7615388   -527.0487666
    7.4      -5.15   -694.8103274   -167.7615382   -527.0487658
    7.5      -4.72   -694.8103241   -167.7615376   -527.0487650
    7.6      -4.33   -694.8103210   -167.7615371   -527.0487642
    7.7      -3.98   -694.8103183   -167.7615366   -527.0487635
    7.8      -3.65   -694.8103157   -167.7615362   -527.0487629
    7.9      -3.36   -694.8103134   -167.7615357   -527.0487623
    8.0      -3.10   -694.8103113   -167.7615353   -527.0487618
    8.1      -2.86   -694.8103093   -167.7615350   -527.0487613
    8.2      -2.65   -694.8103076   -167.7615347   -527.0487609
    8.3      -2.45   -694.8103061   -167.7615344   -527.0487605
    8.4      -2.27   -694.8103046   -167.7615341   -527.0487602
    8.5      -2.10   -694.8103034   -167.7615339   -527.0487599
    8.6      -1.95   -694.8103022   -167.7615336   -527.0487597
    8.7      -1.81   -694.8103012   -167.7615335   -527.0487595
    8.8      -1.69   -694.8103003   -167.7615333   -527.0487593
    8.9      -1.57   -694.8102995   -167.7615332   -527.0487591
    9.0      -1.46   -694.8102987   -167.7615330   -527.0487590
    9.1      -1.37   -694.8102980   -167.7615329   -527.0487589
    9.2      -1.28   -694.8102974   -167.7615328   -527.0487588
    9.3      -1.19   -694.8102969   -167.7615328   -527.0487587
    9.4      -1.12   -694.8102964   -167.7615327   -527.0487587
    9.5      -1.05   -694.8102960   -167.7615326   -527.0487586
    9.6      -0.98   -694.8102956   -167.7615326   -527.0487586
    9.7      -0.92   -694.8102953   -167.7615325   -527.0487585
    9.8      -0.86   -694.8102949   -167.7615325   -527.0487585
    9.9      -0.81   -694.8102946   -167.7615325   -527.0487585
   10.0      -0.76   -694.8102944   -167.7615325   -527.0487584
                                                  
