                                                  
                                                                                                                                                                                                                                                                
 Result for angle 30
      R       E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   64542.63   -694.5203241   -167.7626911   -527.0517108
    2.6   47465.94   -694.5974346   -167.7625122   -527.0511931
    2.7   34420.08   -694.6562962   -167.7623673   -527.0507584
    2.8   24664.23   -694.7002648   -167.7622472   -527.0503961
    2.9   17483.80   -694.7325798   -167.7621452   -527.0500966
    3.0   12265.37   -694.7560246   -167.7620581   -527.0498516
    3.1    8512.46   -694.7728524   -167.7619849   -527.0496531
    3.2    5838.20   -694.7848174   -167.7619242   -527.0494940
    3.3    3949.88   -694.7932444   -167.7618737   -527.0493677
    3.4    2628.57   -694.7991225   -167.7618307   -527.0492684
    3.5    1712.29   -694.8031820   -167.7617933   -527.0491904
    3.6    1083.62   -694.8059518   -167.7617601   -527.0491291
    3.7     657.33   -694.8078155   -167.7617304   -527.0490802
    3.8     372.41   -694.8090477   -167.7617038   -527.0490407
    3.9     185.28   -694.8098436   -167.7616800   -527.0490077
    4.0      65.27   -694.8103411   -167.7616590   -527.0489795
    4.1      -9.20   -694.8106372   -167.7616406   -527.0489546
    4.2     -53.13   -694.8107991   -167.7616250   -527.0489321
    4.3     -76.92   -694.8108739   -167.7616119   -527.0489115
    4.4     -87.68   -694.8108935   -167.7616011   -527.0488928
    4.5     -90.23   -694.8108797   -167.7615924   -527.0488761
    4.6     -87.90   -694.8108472   -167.7615852   -527.0488615
    4.7     -82.78   -694.8108052   -167.7615791   -527.0488489
    4.8     -76.27   -694.8107599   -167.7615741   -527.0488383
    4.9     -69.25   -694.8107149   -167.7615699   -527.0488295
    5.0     -62.28   -694.8106723   -167.7615663   -527.0488222
    5.1     -55.66   -694.8106331   -167.7615633   -527.0488162
    5.2     -49.54   -694.8105977   -167.7615608   -527.0488112
    5.3     -44.00   -694.8105661   -167.7615587   -527.0488070
    5.4     -39.03   -694.8105380   -167.7615568   -527.0488033
    5.5     -34.62   -694.8105129   -167.7615552   -527.0487999
    5.6     -30.73   -694.8104906   -167.7615538   -527.0487968
    5.7     -27.29   -694.8104707   -167.7615524   -527.0487939
    5.8     -24.28   -694.8104529   -167.7615512   -527.0487911
    5.9     -21.63   -694.8104369   -167.7615499   -527.0487885
    6.0     -19.30   -694.8104227   -167.7615487   -527.0487861
    6.1     -17.25   -694.8104100   -167.7615475   -527.0487839
    6.2     -15.45   -694.8103986   -167.7615464   -527.0487818
    6.3     -13.86   -694.8103883   -167.7615452   -527.0487799
    6.4     -12.48   -694.8103791   -167.7615441   -527.0487782
    6.5     -11.23   -694.8103709   -167.7615431   -527.0487766
    6.6     -10.14   -694.8103634   -167.7615421   -527.0487750
    6.7      -9.17   -694.8103566   -167.7615412   -527.0487736
    6.8      -8.31   -694.8103505   -167.7615404   -527.0487722
    6.9      -7.54   -694.8103449   -167.7615396   -527.0487709
    7.0      -6.85   -694.8103398   -167.7615389   -527.0487697
    7.1      -6.24   -694.8103351   -167.7615382   -527.0487685
    7.2      -5.68   -694.8103309   -167.7615376   -527.0487674
    7.3      -5.19   -694.8103271   -167.7615371   -527.0487664
    7.4      -4.75   -694.8103236   -167.7615365   -527.0487654
    7.5      -4.35   -694.8103204   -167.7615361   -527.0487646
    7.6      -3.99   -694.8103176   -167.7615356   -527.0487638
    7.7      -3.67   -694.8103150   -167.7615352   -527.0487631
    7.8      -3.37   -694.8103127   -167.7615349   -527.0487624
    7.9      -3.11   -694.8103106   -167.7615345   -527.0487619
    8.0      -2.87   -694.8103087   -167.7615343   -527.0487614
    8.1      -2.65   -694.8103070   -167.7615340   -527.0487609
    8.2      -2.45   -694.8103055   -167.7615338   -527.0487605
    8.3      -2.27   -694.8103041   -167.7615336   -527.0487602
    8.4      -2.10   -694.8103029   -167.7615334   -527.0487599
    8.5      -1.95   -694.8103018   -167.7615332   -527.0487597
    8.6      -1.81   -694.8103008   -167.7615331   -527.0487595
    8.7      -1.69   -694.8102999   -167.7615330   -527.0487593
    8.8      -1.57   -694.8102992   -167.7615329   -527.0487591
    8.9      -1.47   -694.8102985   -167.7615328   -527.0487590
    9.0      -1.37   -694.8102978   -167.7615327   -527.0487589
    9.1      -1.28   -694.8102973   -167.7615327   -527.0487588
    9.2      -1.19   -694.8102968   -167.7615326   -527.0487587
    9.3      -1.12   -694.8102963   -167.7615326   -527.0487586
    9.4      -1.05   -694.8102959   -167.7615325   -527.0487586
    9.5      -0.98   -694.8102955   -167.7615325   -527.0487585
    9.6      -0.92   -694.8102952   -167.7615325   -527.0487585
    9.7      -0.87   -694.8102949   -167.7615325   -527.0487585
    9.8      -0.81   -694.8102946   -167.7615324   -527.0487585
    9.9      -0.77   -694.8102944   -167.7615324   -527.0487584
   10.0      -0.72   -694.8102941   -167.7615324   -527.0487584
                                                  
