                                                  
                                                                                                                                                                                                                                                                
 Result for angle 15
      R        E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   113728.21   -694.2979044   -167.7630783   -527.0530099
    2.6    85006.55   -694.4277733   -167.7627897   -527.0523019
    2.7    62175.63   -694.5309839   -167.7625730   -527.0517040
    2.8    44742.47   -694.6097570   -167.7624151   -527.0512036
    2.9    31788.66   -694.6682388   -167.7622972   -527.0507814
    3.0    22341.86   -694.7108245   -167.7622010   -527.0504205
    3.1    15545.81   -694.7413976   -167.7621171   -527.0501124
    3.2    10708.75   -694.7631056   -167.7620440   -527.0498543
    3.3     7297.35   -694.7783772   -167.7619823   -527.0496441
    3.4     4911.61   -694.7890303   -167.7619315   -527.0494777
    3.5     3256.81   -694.7963995   -167.7618895   -527.0493491
    3.6     2119.17   -694.8014494   -167.7618539   -527.0492511
    3.7     1344.21   -694.8048744   -167.7618228   -527.0491763
    3.8      822.08   -694.8071674   -167.7617949   -527.0491182
    3.9      474.82   -694.8086775   -167.7617690   -527.0490719
    4.0      247.68   -694.8096501   -167.7617446   -527.0490340
    4.1      102.09   -694.8102571   -167.7617207   -527.0490015
    4.2       11.56   -694.8106181   -167.7616977   -527.0489731
    4.3      -42.28   -694.8108160   -167.7616758   -527.0489476
    4.4      -72.09   -694.8109086   -167.7616555   -527.0489246
    4.5      -86.31   -694.8109346   -167.7616374   -527.0489039
    4.6      -90.78   -694.8109209   -167.7616216   -527.0488856
    4.7      -89.37   -694.8108852   -167.7616083   -527.0488697
    4.8      -84.62   -694.8108391   -167.7615973   -527.0488562
    4.9      -78.16   -694.8107897   -167.7615886   -527.0488450
    5.0      -71.03   -694.8107412   -167.7615819   -527.0488357
    5.1      -63.87   -694.8106959   -167.7615768   -527.0488281
    5.2      -57.03   -694.8106548   -167.7615731   -527.0488218
    5.3      -50.71   -694.8106181   -167.7615704   -527.0488166
    5.4      -45.02   -694.8105854   -167.7615682   -527.0488121
    5.5      -39.88   -694.8105565   -167.7615666   -527.0488081
    5.6      -35.35   -694.8105307   -167.7615651   -527.0488045
    5.7      -31.33   -694.8105076   -167.7615637   -527.0488012
    5.8      -27.81   -694.8104869   -167.7615622   -527.0487980
    5.9      -24.72   -694.8104682   -167.7615606   -527.0487950
    6.0      -22.00   -694.8104513   -167.7615589   -527.0487922
    6.1      -19.62   -694.8104361   -167.7615571   -527.0487896
    6.2      -17.53   -694.8104223   -167.7615553   -527.0487871
    6.3      -15.71   -694.8104099   -167.7615534   -527.0487849
    6.4      -14.08   -694.8103987   -167.7615517   -527.0487828
    6.5      -12.66   -694.8103886   -167.7615500   -527.0487809
    6.6      -11.39   -694.8103794   -167.7615485   -527.0487791
    6.7      -10.28   -694.8103711   -167.7615470   -527.0487773
    6.8       -9.29   -694.8103636   -167.7615456   -527.0487757
    6.9       -8.41   -694.8103567   -167.7615443   -527.0487741
    7.0       -7.63   -694.8103504   -167.7615431   -527.0487726
    7.1       -6.93   -694.8103447   -167.7615420   -527.0487711
    7.2       -6.31   -694.8103395   -167.7615410   -527.0487698
    7.3       -5.75   -694.8103348   -167.7615400   -527.0487685
    7.4       -5.25   -694.8103305   -167.7615392   -527.0487673
    7.5       -4.81   -694.8103266   -167.7615384   -527.0487662
    7.6       -4.40   -694.8103230   -167.7615377   -527.0487653
    7.7       -4.04   -694.8103198   -167.7615370   -527.0487643
    7.8       -3.71   -694.8103169   -167.7615365   -527.0487635
    7.9       -3.41   -694.8103143   -167.7615359   -527.0487628
    8.0       -3.15   -694.8103120   -167.7615355   -527.0487622
    8.1       -2.90   -694.8103099   -167.7615350   -527.0487616
    8.2       -2.68   -694.8103080   -167.7615347   -527.0487611
    8.3       -2.48   -694.8103063   -167.7615343   -527.0487607
    8.4       -2.29   -694.8103048   -167.7615340   -527.0487603
    8.5       -2.13   -694.8103035   -167.7615338   -527.0487600
    8.6       -1.97   -694.8103023   -167.7615335   -527.0487597
    8.7       -1.84   -694.8103012   -167.7615334   -527.0487595
    8.8       -1.71   -694.8103003   -167.7615332   -527.0487593
    8.9       -1.59   -694.8102994   -167.7615331   -527.0487592
    9.0       -1.48   -694.8102987   -167.7615329   -527.0487590
    9.1       -1.38   -694.8102980   -167.7615328   -527.0487589
    9.2       -1.29   -694.8102974   -167.7615327   -527.0487588
    9.3       -1.21   -694.8102969   -167.7615327   -527.0487587
    9.4       -1.13   -694.8102964   -167.7615326   -527.0487586
    9.5       -1.06   -694.8102960   -167.7615326   -527.0487586
    9.6       -0.99   -694.8102956   -167.7615325   -527.0487585
    9.7       -0.93   -694.8102953   -167.7615325   -527.0487585
    9.8       -0.88   -694.8102949   -167.7615325   -527.0487585
    9.9       -0.82   -694.8102947   -167.7615325   -527.0487585
   10.0       -0.78   -694.8102944   -167.7615324   -527.0487584
                                                  
