                                                  
                                                                                                                                                                                                                                                                
 Result for angle 60
      R       E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   11336.51   -694.7602429   -167.7620415   -527.0498543
    2.6    7949.60   -694.7754297   -167.7619741   -527.0496766
    2.7    5503.99   -694.7863696   -167.7619159   -527.0495317
    2.8    3753.65   -694.7941764   -167.7618653   -527.0494139
    2.9    2512.47   -694.7996909   -167.7618205   -527.0493180
    3.0    1641.16   -694.8035424   -167.7617806   -527.0492395
    3.1    1036.33   -694.8061978   -167.7617452   -527.0491745
    3.2     621.93   -694.8080006   -167.7617140   -527.0491203
    3.3     342.40   -694.8092013   -167.7616865   -527.0490748
    3.4     157.56   -694.8099811   -167.7616626   -527.0490364
    3.5      38.46   -694.8104700   -167.7616420   -527.0490032
    3.6     -35.49   -694.8107604   -167.7616243   -527.0489744
    3.7     -78.78   -694.8109177   -167.7616097   -527.0489490
    3.8    -101.59   -694.8109876   -167.7615981   -527.0489266
    3.9    -111.14   -694.8110019   -167.7615887   -527.0489068
    4.0    -112.23   -694.8109822   -167.7615814   -527.0488894
    4.1    -108.29   -694.8109430   -167.7615754   -527.0488742
    4.2    -101.43   -694.8108938   -167.7615705   -527.0488611
    4.3     -93.23   -694.8108407   -167.7615662   -527.0488497
    4.4     -84.52   -694.8107875   -167.7615626   -527.0488399
    4.5     -75.97   -694.8107367   -167.7615591   -527.0488314
    4.6     -67.85   -694.8106893   -167.7615560   -527.0488242
    4.7     -60.36   -694.8106460   -167.7615532   -527.0488178
    4.8     -53.56   -694.8106070   -167.7615507   -527.0488123
    4.9     -47.47   -694.8105722   -167.7615485   -527.0488075
    5.0     -42.05   -694.8105414   -167.7615466   -527.0488033
    5.1     -37.25   -694.8105141   -167.7615449   -527.0487995
    5.2     -33.03   -694.8104901   -167.7615435   -527.0487961
    5.3     -29.32   -694.8104689   -167.7615424   -527.0487930
    5.4     -26.06   -694.8104503   -167.7615414   -527.0487902
    5.5     -23.20   -694.8104338   -167.7615406   -527.0487876
    5.6     -20.68   -694.8104193   -167.7615398   -527.0487853
    5.7     -18.48   -694.8104065   -167.7615392   -527.0487831
    5.8     -16.54   -694.8103951   -167.7615386   -527.0487811
    5.9     -14.83   -694.8103850   -167.7615381   -527.0487793
    6.0     -13.32   -694.8103760   -167.7615376   -527.0487777
    6.1     -11.99   -694.8103680   -167.7615372   -527.0487762
    6.2     -10.81   -694.8103608   -167.7615368   -527.0487747
    6.3      -9.77   -694.8103543   -167.7615364   -527.0487734
    6.4      -8.84   -694.8103485   -167.7615361   -527.0487722
    6.5      -8.02   -694.8103433   -167.7615358   -527.0487710
    6.6      -7.29   -694.8103386   -167.7615354   -527.0487699
    6.7      -6.63   -694.8103343   -167.7615352   -527.0487689
    6.8      -6.03   -694.8103303   -167.7615349   -527.0487679
    6.9      -5.51   -694.8103268   -167.7615347   -527.0487670
    7.0      -5.03   -694.8103236   -167.7615345   -527.0487662
    7.1      -4.61   -694.8103206   -167.7615343   -527.0487654
    7.2      -4.23   -694.8103179   -167.7615341   -527.0487646
    7.3      -3.88   -694.8103155   -167.7615339   -527.0487639
    7.4      -3.57   -694.8103133   -167.7615337   -527.0487633
    7.5      -3.28   -694.8103113   -167.7615336   -527.0487627
    7.6      -3.02   -694.8103094   -167.7615335   -527.0487622
    7.7      -2.79   -694.8103078   -167.7615333   -527.0487617
    7.8      -2.58   -694.8103063   -167.7615332   -527.0487613
    7.9      -2.39   -694.8103049   -167.7615331   -527.0487609
    8.0      -2.21   -694.8103036   -167.7615330   -527.0487606
    8.1      -2.05   -694.8103025   -167.7615329   -527.0487602
    8.2      -1.90   -694.8103015   -167.7615329   -527.0487600
    8.3      -1.77   -694.8103006   -167.7615328   -527.0487597
    8.4      -1.64   -694.8102998   -167.7615327   -527.0487595
    8.5      -1.53   -694.8102990   -167.7615327   -527.0487594
    8.6      -1.43   -694.8102984   -167.7615326   -527.0487592
    8.7      -1.33   -694.8102977   -167.7615326   -527.0487591
    8.8      -1.24   -694.8102972   -167.7615326   -527.0487590
    8.9      -1.16   -694.8102967   -167.7615325   -527.0487589
    9.0      -1.09   -694.8102962   -167.7615325   -527.0487588
    9.1      -1.02   -694.8102958   -167.7615325   -527.0487587
    9.2      -0.96   -694.8102955   -167.7615325   -527.0487586
    9.3      -0.90   -694.8102951   -167.7615325   -527.0487586
    9.4      -0.84   -694.8102948   -167.7615324   -527.0487585
    9.5      -0.79   -694.8102946   -167.7615324   -527.0487585
    9.6      -0.75   -694.8102943   -167.7615324   -527.0487585
    9.7      -0.70   -694.8102941   -167.7615324   -527.0487585
    9.8      -0.66   -694.8102939   -167.7615324   -527.0487584
    9.9      -0.63   -694.8102937   -167.7615324   -527.0487584
   10.0      -0.59   -694.8102935   -167.7615324   -527.0487584
                                                  
