                                                  
                                                                                                                                                                                                                                                                
 Result for angle 150
      R       E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   81570.45   -694.4433514   -167.7627607   -527.0522530
    2.6   63674.57   -694.5241428   -167.7625806   -527.0516849
    2.7   48824.37   -694.5911756   -167.7624266   -527.0512092
    2.8   36840.19   -694.6452570   -167.7622974   -527.0508159
    2.9   27411.30   -694.6877861   -167.7621911   -527.0504901
    3.0   20145.32   -694.7205330   -167.7621039   -527.0502179
    3.1   14638.86   -694.7453202   -167.7620308   -527.0499889
    3.2   10521.87   -694.7638219   -167.7619679   -527.0497951
    3.3    7478.65   -694.7774688   -167.7619131   -527.0496309
    3.4    5251.95   -694.7874284   -167.7618659   -527.0494922
    3.5    3638.17   -694.7946249   -167.7618257   -527.0493759
    3.6    2479.43   -694.7997743   -167.7617917   -527.0492797
    3.7    1655.51   -694.8034209   -167.7617628   -527.0492012
    3.8    1075.74   -694.8059744   -167.7617381   -527.0491377
    3.9     672.47   -694.8077397   -167.7617171   -527.0490866
    4.0     395.78   -694.8089412   -167.7616991   -527.0490455
    4.1     208.97   -694.8097430   -167.7616834   -527.0490117
    4.2      85.49   -694.8102636   -167.7616696   -527.0489835
    4.3       6.17   -694.8105884   -167.7616573   -527.0489592
    4.4     -42.74   -694.8107784   -167.7616461   -527.0489375
    4.5     -70.93   -694.8108770   -167.7616361   -527.0489177
    4.6     -85.28   -694.8109151   -167.7616270   -527.0488995
    4.7     -90.55   -694.8109142   -167.7616188   -527.0488828
    4.8     -90.13   -694.8108897   -167.7616111   -527.0488679
    4.9     -86.29   -694.8108518   -167.7616039   -527.0488547
    5.0     -80.54   -694.8108075   -167.7615972   -527.0488433
    5.1     -73.89   -694.8107611   -167.7615909   -527.0488336
    5.2     -66.99   -694.8107156   -167.7615851   -527.0488253
    5.3     -60.24   -694.8106725   -167.7615797   -527.0488183
    5.4     -53.87   -694.8106328   -167.7615750   -527.0488123
    5.5     -48.01   -694.8105969   -167.7615709   -527.0488073
    5.6     -42.70   -694.8105649   -167.7615674   -527.0488029
    5.7     -37.95   -694.8105366   -167.7615645   -527.0487992
    5.8     -33.72   -694.8105118   -167.7615622   -527.0487960
    5.9     -29.98   -694.8104899   -167.7615603   -527.0487931
    6.0     -26.68   -694.8104708   -167.7615587   -527.0487905
    6.1     -23.78   -694.8104539   -167.7615574   -527.0487881
    6.2     -21.22   -694.8104389   -167.7615562   -527.0487859
    6.3     -18.98   -694.8104255   -167.7615551   -527.0487839
    6.4     -17.00   -694.8104135   -167.7615541   -527.0487820
    6.5     -15.25   -694.8104027   -167.7615530   -527.0487802
    6.6     -13.71   -694.8103929   -167.7615519   -527.0487786
    6.7     -12.34   -694.8103841   -167.7615508   -527.0487770
    6.8     -11.12   -694.8103760   -167.7615497   -527.0487756
    6.9     -10.05   -694.8103686   -167.7615486   -527.0487742
    7.0      -9.10   -694.8103619   -167.7615474   -527.0487730
    7.1      -8.25   -694.8103557   -167.7615463   -527.0487718
    7.2      -7.50   -694.8103500   -167.7615452   -527.0487706
    7.3      -6.82   -694.8103448   -167.7615442   -527.0487695
    7.4      -6.22   -694.8103400   -167.7615432   -527.0487685
    7.5      -5.68   -694.8103356   -167.7615422   -527.0487675
    7.6      -5.20   -694.8103315   -167.7615413   -527.0487665
    7.7      -4.75   -694.8103278   -167.7615405   -527.0487656
    7.8      -4.36   -694.8103244   -167.7615397   -527.0487648
    7.9      -4.01   -694.8103212   -167.7615389   -527.0487640
    8.0      -3.68   -694.8103183   -167.7615382   -527.0487633
    8.1      -3.39   -694.8103157   -167.7615376   -527.0487627
    8.2      -3.13   -694.8103133   -167.7615370   -527.0487621
    8.3      -2.89   -694.8103112   -167.7615364   -527.0487616
    8.4      -2.67   -694.8103092   -167.7615359   -527.0487611
    8.5      -2.47   -694.8103074   -167.7615355   -527.0487607
    8.6      -2.29   -694.8103059   -167.7615350   -527.0487604
    8.7      -2.12   -694.8103044   -167.7615347   -527.0487601
    8.8      -1.97   -694.8103031   -167.7615343   -527.0487598
    8.9      -1.83   -694.8103020   -167.7615341   -527.0487596
    9.0      -1.70   -694.8103009   -167.7615338   -527.0487594
    9.1      -1.59   -694.8103000   -167.7615336   -527.0487592
    9.2      -1.48   -694.8102992   -167.7615334   -527.0487591
    9.3      -1.38   -694.8102984   -167.7615332   -527.0487589
    9.4      -1.29   -694.8102978   -167.7615331   -527.0487588
    9.5      -1.21   -694.8102972   -167.7615330   -527.0487588
    9.6      -1.13   -694.8102967   -167.7615328   -527.0487587
    9.7      -1.06   -694.8102962   -167.7615328   -527.0487586
    9.8      -0.99   -694.8102958   -167.7615327   -527.0487586
    9.9      -0.93   -694.8102954   -167.7615326   -527.0487585
   10.0      -0.87   -694.8102951   -167.7615326   -527.0487585
                                                  
