                                                  
                                                                                                                                                                                                                                                                
 Result for angle 120
      R       E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   14924.10   -694.7440122   -167.7620656   -527.0499458
    2.6   10877.23   -694.7621977   -167.7619964   -527.0497617
    2.7    7851.57   -694.7757675   -167.7619346   -527.0496073
    2.8    5607.04   -694.7858109   -167.7618793   -527.0494791
    2.9    3954.87   -694.7931843   -167.7618306   -527.0493734
    3.0    2748.48   -694.7985522   -167.7617885   -527.0492867
    3.1    1875.08   -694.8024252   -167.7617532   -527.0492155
    3.2    1248.65   -694.8051918   -167.7617243   -527.0491568
    3.3     804.04   -694.8071455   -167.7617010   -527.0491079
    3.4     492.43   -694.8085056   -167.7616824   -527.0490668
    3.5     276.98   -694.8094362   -167.7616667   -527.0490315
    3.6     130.85   -694.8100573   -167.7616527   -527.0490008
    3.7      34.08   -694.8104581   -167.7616397   -527.0489737
    3.8     -27.90   -694.8107040   -167.7616273   -527.0489496
    3.9     -65.58   -694.8108424   -167.7616157   -527.0489279
    4.0     -86.60   -694.8109080   -167.7616049   -527.0489085
    4.1     -96.39   -694.8109257   -167.7615954   -527.0488912
    4.2     -98.81   -694.8109132   -167.7615870   -527.0488759
    4.3     -96.56   -694.8108825   -167.7615799   -527.0488626
    4.4     -91.53   -694.8108420   -167.7615739   -527.0488511
    4.5     -84.99   -694.8107971   -167.7615689   -527.0488410
    4.6     -77.79   -694.8107513   -167.7615646   -527.0488323
    4.7     -70.47   -694.8107067   -167.7615609   -527.0488247
    4.8     -63.40   -694.8106647   -167.7615578   -527.0488181
    4.9     -56.76   -694.8106260   -167.7615551   -527.0488123
    5.0     -50.65   -694.8105909   -167.7615528   -527.0488073
    5.1     -45.11   -694.8105594   -167.7615509   -527.0488029
    5.2     -40.15   -694.8105313   -167.7615492   -527.0487991
    5.3     -35.72   -694.8105064   -167.7615479   -527.0487958
    5.4     -31.79   -694.8104843   -167.7615467   -527.0487928
    5.5     -28.31   -694.8104648   -167.7615457   -527.0487901
    5.6     -25.24   -694.8104475   -167.7615449   -527.0487876
    5.7     -22.54   -694.8104322   -167.7615441   -527.0487853
    5.8     -20.15   -694.8104185   -167.7615435   -527.0487832
    5.9     -18.04   -694.8104063   -167.7615428   -527.0487813
    6.0     -16.18   -694.8103954   -167.7615422   -527.0487795
    6.1     -14.54   -694.8103857   -167.7615416   -527.0487778
    6.2     -13.08   -694.8103769   -167.7615410   -527.0487763
    6.3     -11.79   -694.8103690   -167.7615404   -527.0487749
    6.4     -10.65   -694.8103619   -167.7615399   -527.0487735
    6.5      -9.63   -694.8103555   -167.7615393   -527.0487723
    6.6      -8.72   -694.8103497   -167.7615389   -527.0487712
    6.7      -7.92   -694.8103445   -167.7615383   -527.0487701
    6.8      -7.19   -694.8103397   -167.7615378   -527.0487691
    6.9      -6.55   -694.8103353   -167.7615374   -527.0487681
    7.0      -5.97   -694.8103313   -167.7615369   -527.0487672
    7.1      -5.46   -694.8103276   -167.7615365   -527.0487663
    7.2      -5.00   -694.8103243   -167.7615361   -527.0487655
    7.3      -4.57   -694.8103213   -167.7615357   -527.0487647
    7.4      -4.20   -694.8103185   -167.7615354   -527.0487640
    7.5      -3.85   -694.8103159   -167.7615351   -527.0487633
    7.6      -3.54   -694.8103136   -167.7615348   -527.0487627
    7.7      -3.26   -694.8103115   -167.7615345   -527.0487622
    7.8      -3.01   -694.8103096   -167.7615342   -527.0487617
    7.9      -2.78   -694.8103079   -167.7615340   -527.0487612
    8.0      -2.57   -694.8103063   -167.7615338   -527.0487608
    8.1      -2.38   -694.8103049   -167.7615336   -527.0487605
    8.2      -2.20   -694.8103036   -167.7615334   -527.0487602
    8.3      -2.04   -694.8103025   -167.7615333   -527.0487599
    8.4      -1.89   -694.8103015   -167.7615331   -527.0487597
    8.5      -1.76   -694.8103005   -167.7615330   -527.0487595
    8.6      -1.64   -694.8102997   -167.7615329   -527.0487593
    8.7      -1.53   -694.8102989   -167.7615328   -527.0487592
    8.8      -1.42   -694.8102983   -167.7615328   -527.0487590
    8.9      -1.33   -694.8102977   -167.7615327   -527.0487589
    9.0      -1.24   -694.8102971   -167.7615326   -527.0487588
    9.1      -1.16   -694.8102966   -167.7615326   -527.0487587
    9.2      -1.09   -694.8102962   -167.7615326   -527.0487587
    9.3      -1.02   -694.8102958   -167.7615325   -527.0487586
    9.4      -0.95   -694.8102954   -167.7615325   -527.0487586
    9.5      -0.90   -694.8102951   -167.7615325   -527.0487585
    9.6      -0.84   -694.8102948   -167.7615325   -527.0487585
    9.7      -0.79   -694.8102945   -167.7615324   -527.0487585
    9.8      -0.74   -694.8102943   -167.7615324   -527.0487584
    9.9      -0.70   -694.8102940   -167.7615324   -527.0487584
   10.0      -0.66   -694.8102938   -167.7615324   -527.0487584
                                                  
