#  theta    R       E_CP
    45     7.1       -5.35
    45     7.2       -4.90
    45     7.3       -4.49
    45     7.4       -4.12
    45     7.5       -3.78
    45     7.6       -3.48
    45     7.7       -3.21
    45     7.8       -2.96
    45     7.9       -2.73
    45     8.0       -2.52
    45     8.1       -2.33
    45     8.2       -2.16
    45     8.3       -2.00
    45     8.4       -1.86
    45     8.5       -1.73
    45     8.6       -1.61
    45     8.7       -1.50
    45     8.8       -1.40
    45     8.9       -1.30
    45     9.0       -1.22
    45     9.1       -1.14
    45     9.2       -1.07
    45     9.3       -1.00
    45     9.4       -0.94
    45     9.5       -0.88
    45     9.6       -0.83
    45     9.7       -0.78
    45     9.8       -0.73
    45     9.9       -0.69
    45    10.0       -0.65

    60     2.7     4938.61
    60     2.8     3357.40
    60     2.9     2233.16
    60     3.0     1443.50
    60     3.1      896.14
    60     3.2      522.41
    60     3.3      271.70
    60     3.4      107.67
    60     3.5        3.12
    60     3.6      -60.39
    60     3.7      -96.28
    60     3.8     -113.87
    60     3.9     -119.73
    60     4.0     -118.25
    60     4.1     -112.47
    60     4.2     -104.35
    60     4.3      -95.24
    60     4.4      -85.92
    60     4.5      -76.93
    60     4.6      -68.51
    60     4.7      -60.81
    60     4.8      -53.86
    60     4.9      -47.66
    60     5.0      -42.17
    60     5.1      -37.32
    60     5.2      -33.06
    60     5.3      -29.32
    60     5.4      -26.04
    60     5.5      -23.17
    60     5.6      -20.65
    60     5.7      -18.44
    60     5.8      -16.50
    60     5.9      -14.79
    60     6.0      -13.28
    60     6.1      -11.96
    60     6.2      -10.78
    60     6.3       -9.74
    60     6.4       -8.82
    60     6.5       -8.00
    60     6.6       -7.27
    60     6.7       -6.62
    60     6.8       -6.02
    60     6.9       -5.50
    60     7.0       -5.03
    60     7.1       -4.61
    60     7.2       -4.22
    60     7.3       -3.88
    60     7.4       -3.57
    60     7.5       -3.28
    60     7.6       -3.02
    60     7.7       -2.79
    60     7.8       -2.58
    60     7.9       -2.38
    60     8.0       -2.21
    60     8.1       -2.04
    60     8.2       -1.90
    60     8.3       -1.76
    60     8.4       -1.64
    60     8.5       -1.53
    60     8.6       -1.42
    60     8.7       -1.33
    60     8.8       -1.24
    60     8.9       -1.16
    60     9.0       -1.08
    60     9.1       -1.02
    60     9.2       -0.95
    60     9.3       -0.89
    60     9.4       -0.84
    60     9.5       -0.79
    60     9.6       -0.74
    60     9.7       -0.70
    60     9.8       -0.66
    60     9.9       -0.62
    60    10.0       -0.59

    75     2.7     2137.65
    75     2.8     1357.00
    75     2.9      819.53
    75     3.0      455.56
    75     3.1      213.95
    75     3.2       58.11
    75     3.3      -39.07
    75     3.4      -96.18
    75     3.5     -126.70
    75     3.6     -139.77
    75     3.7     -141.79
    75     3.8     -137.09
    75     3.9     -128.59
    75     4.0     -118.20
    75     4.1     -107.16
    75     4.2      -96.22
    75     4.3      -85.83
    75     4.4      -76.21
    75     4.5      -67.49
    75     4.6      -59.66
    75     4.7      -52.71
    75     4.8      -46.56
    75     4.9      -41.15
    75     5.0      -36.40
    75     5.1      -32.23
    75     5.2      -28.59
    75     5.3      -25.39
    75     5.4      -22.60
    75     5.5      -20.14
    75     5.6      -17.98
    75     5.7      -16.10
    75     5.8      -14.44
    75     5.9      -12.98
    75     6.0      -11.69
    75     6.1      -10.55
    75     6.2       -9.54
    75     6.3       -8.64
    75     6.4       -7.84
    75     6.5       -7.13
    75     6.6       -6.48
    75     6.7       -5.91
    75     6.8       -5.40
    75     6.9       -4.94
    75     7.0       -4.52
    75     7.1       -4.14
    75     7.2       -3.80
    75     7.3       -3.50
    75     7.4       -3.22
    75     7.5       -2.97
    75     7.6       -2.74
    75     7.7       -2.53
    75     7.8       -2.34
    75     7.9       -2.17
    75     8.0       -2.01
    75     8.1       -1.86
    75     8.2       -1.73
    75     8.3       -1.61
    75     8.4       -1.50
    75     8.5       -1.40
    75     8.6       -1.31
    75     8.7       -1.22
    75     8.8       -1.14
    75     8.9       -1.07
    75     9.0       -1.00
    75     9.1       -0.94
    75     9.2       -0.88
    75     9.3       -0.83
    75     9.4       -0.78
    75     9.5       -0.73
    75     9.6       -0.69
    75     9.7       -0.65
    75     9.8       -0.61
    75     9.9       -0.58
