#  theta    R       E_CP
    45     7.1      -5.37
    45     7.2      -4.90
    45     7.3      -4.49
    45     7.4      -4.12
    45     7.5      -3.78
    45     7.6      -3.48
    45     7.7      -3.20
    45     7.8      -2.95
    45     7.9      -2.73
    45     8.0      -2.52
    45     8.1      -2.33
    45     8.2      -2.16
    45     8.3      -2.00
    45     8.4      -1.86
    45     8.5      -1.73
    45     8.6      -1.61
    45     8.7      -1.50
    45     8.8      -1.40
    45     8.9      -1.31
    45     9.0      -1.22
    45     9.1      -1.14
    45     9.2      -1.07
    45     9.3      -1.00
    45     9.4      -0.94
    45     9.5      -0.88
    45     9.6      -0.83
    45     9.7      -0.78
    45     9.8      -0.74
    45     9.9      -0.69
    45    10.0      -0.65

    60     2.7    5503.99
    60     2.8    3753.65
    60     2.9    2512.47
    60     3.0    1641.16
    60     3.1    1036.33
    60     3.2     621.93
    60     3.3     342.40
    60     3.4     157.56
    60     3.5      38.46
    60     3.6     -35.49
    60     3.7     -78.78
    60     3.8    -101.59
    60     3.9    -111.14
    60     4.0    -112.23
    60     4.1    -108.29
    60     4.2    -101.43
    60     4.3     -93.23
    60     4.4     -84.52
    60     4.5     -75.97
    60     4.6     -67.85
    60     4.7     -60.36
    60     4.8     -53.56
    60     4.9     -47.47
    60     5.0     -42.05
    60     5.1     -37.25
    60     5.2     -33.03
    60     5.3     -29.32
    60     5.4     -26.06
    60     5.5     -23.20
    60     5.6     -20.68
    60     5.7     -18.48
    60     5.8     -16.54
    60     5.9     -14.83
    60     6.0     -13.32
    60     6.1     -11.99
    60     6.2     -10.81
    60     6.3      -9.77
    60     6.4      -8.84
    60     6.5      -8.02
    60     6.6      -7.29
    60     6.7      -6.63
    60     6.8      -6.03
    60     6.9      -5.51
    60     7.0      -5.03
    60     7.1      -4.61
    60     7.2      -4.23
    60     7.3      -3.88
    60     7.4      -3.57
    60     7.5      -3.28
    60     7.6      -3.02
    60     7.7      -2.79
    60     7.8      -2.58
    60     7.9      -2.39
    60     8.0      -2.21
    60     8.1      -2.05
    60     8.2      -1.90
    60     8.3      -1.77
    60     8.4      -1.64
    60     8.5      -1.53
    60     8.6      -1.43
    60     8.7      -1.33
    60     8.8      -1.24
    60     8.9      -1.16
    60     9.0      -1.09
    60     9.1      -1.02
    60     9.2      -0.96
    60     9.3      -0.90
    60     9.4      -0.84
    60     9.5      -0.79
    60     9.6      -0.75
    60     9.7      -0.70
    60     9.8      -0.66
    60     9.9      -0.63
    60    10.0      -0.59

    75     2.7    2182.72
    75     2.8    1372.37
    75     2.9     818.74
    75     3.0     446.85
    75     3.1     202.22
    75     3.2      45.70
    75     3.3     -50.59
    75     3.4    -106.27
    75     3.5    -135.11
    75     3.6    -146.58
    75     3.7    -147.18
    75     3.8    -141.30
    75     3.9    -131.82
    75     4.0    -120.67
    75     4.1    -109.04
    75     4.2     -97.64
    75     4.3     -86.89
    75     4.4     -77.02
    75     4.5     -68.09
    75     4.6     -60.12
    75     4.7     -53.05
    75     4.8     -46.82
    75     4.9     -41.35
    75     5.0     -36.56
    75     5.1     -32.37
    75     5.2     -28.70
    75     5.3     -25.49
    75     5.4     -22.68
    75     5.5     -20.22
    75     5.6     -18.06
    75     5.7     -16.17
    75     5.8     -14.50
    75     5.9     -13.04
    75     6.0     -11.74
    75     6.1     -10.59
    75     6.2      -9.58
    75     6.3      -8.67
    75     6.4      -7.87
