                                                  
                                                                                                                                                                                                                                                                
 Result for angle 165
      R       E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   95285.44   -694.3832161   -167.7633369   -527.0540316
    2.6   71764.61   -694.4892680   -167.7630398   -527.0532119
    2.7   54552.21   -694.5667058   -167.7627854   -527.0524785
    2.8   41915.83   -694.6234491   -167.7625745   -527.0518572
    2.9   32904.76   -694.6638327   -167.7624062   -527.0513516
    3.0   26550.68   -694.6922508   -167.7622784   -527.0509462
    3.1   21789.41   -694.7135217   -167.7621847   -527.0506169
    3.2   17332.65   -694.7334818   -167.7621145   -527.0503406
    3.3   13051.20   -694.7526926   -167.7620569   -527.0501014
    3.4    9473.12   -694.7687332   -167.7620051   -527.0498908
    3.5    6720.18   -694.7810439   -167.7619571   -527.0497062
    3.6    4681.47   -694.7901298   -167.7619131   -527.0495471
    3.7    3204.30   -694.7966871   -167.7618735   -527.0494135
    3.8    2150.66   -694.8013434   -167.7618385   -527.0493041
    3.9    1408.84   -694.8046052   -167.7618079   -527.0492164
    4.0     893.07   -694.8068594   -167.7617813   -527.0491472
    4.1     539.32   -694.8083944   -167.7617588   -527.0490929
    4.2     300.41   -694.8094210   -167.7617395   -527.0490503
    4.3     142.07   -694.8100910   -167.7617225   -527.0490159
    4.4      39.74   -694.8105132   -167.7617069   -527.0489874
    4.5     -24.10   -694.8107649   -167.7616921   -527.0489629
    4.6     -61.82   -694.8109006   -167.7616779   -527.0489410
    4.7     -82.05   -694.8109591   -167.7616641   -527.0489211
    4.8     -90.90   -694.8109678   -167.7616508   -527.0489029
    4.9     -92.46   -694.8109459   -167.7616382   -527.0488864
    5.0     -89.62   -694.8109064   -167.7616263   -527.0488718
    5.1     -84.26   -694.8108583   -167.7616155   -527.0488589
    5.2     -77.62   -694.8108072   -167.7616058   -527.0488478
    5.3     -70.53   -694.8107567   -167.7615972   -527.0488381
    5.4     -63.48   -694.8107089   -167.7615899   -527.0488298
    5.5     -56.77   -694.8106650   -167.7615839   -527.0488225
    5.6     -50.56   -694.8106255   -167.7615789   -527.0488162
    5.7     -44.90   -694.8105904   -167.7615751   -527.0488107
    5.8     -39.84   -694.8105596   -167.7615720   -527.0488060
    5.9     -35.34   -694.8105327   -167.7615697   -527.0488020
    6.0     -31.37   -694.8105093   -167.7615679   -527.0487985
    6.1     -27.87   -694.8104889   -167.7615665   -527.0487954
    6.2     -24.80   -694.8104710   -167.7615653   -527.0487927
    6.3     -22.10   -694.8104551   -167.7615642   -527.0487902
    6.4     -19.73   -694.8104409   -167.7615630   -527.0487880
    6.5     -17.65   -694.8104281   -167.7615618   -527.0487858
    6.6     -15.82   -694.8104165   -167.7615606   -527.0487838
    6.7     -14.21   -694.8104059   -167.7615592   -527.0487819
    6.8     -12.78   -694.8103961   -167.7615578   -527.0487801
    6.9     -11.52   -694.8103872   -167.7615563   -527.0487785
    7.0     -10.41   -694.8103790   -167.7615547   -527.0487769
    7.1      -9.42   -694.8103714   -167.7615532   -527.0487753
    7.2      -8.53   -694.8103645   -167.7615517   -527.0487739
    7.3      -7.75   -694.8103580   -167.7615502   -527.0487726
    7.4      -7.04   -694.8103521   -167.7615488   -527.0487713
    7.5      -6.42   -694.8103466   -167.7615473   -527.0487700
    7.6      -5.86   -694.8103416   -167.7615460   -527.0487689
    7.7      -5.36   -694.8103370   -167.7615448   -527.0487678
    7.8      -4.90   -694.8103327   -167.7615436   -527.0487668
    7.9      -4.50   -694.8103288   -167.7615425   -527.0487658
    8.0      -4.13   -694.8103252   -167.7615414   -527.0487649
    8.1      -3.80   -694.8103219   -167.7615404   -527.0487641
    8.2      -3.52   -694.8103190   -167.7615395   -527.0487634
    8.3      -3.23   -694.8103161   -167.7615387   -527.0487627
    8.4      -2.98   -694.8103136   -167.7615379   -527.0487621
    8.5      -2.75   -694.8103114   -167.7615372   -527.0487616
    8.6      -2.54   -694.8103093   -167.7615366   -527.0487611
    8.7      -2.35   -694.8103075   -167.7615361   -527.0487607
    8.8      -2.18   -694.8103058   -167.7615355   -527.0487604
    8.9      -2.03   -694.8103044   -167.7615351   -527.0487600
    9.0      -1.88   -694.8103030   -167.7615347   -527.0487598
    9.1      -1.75   -694.8103019   -167.7615343   -527.0487595
    9.2      -1.63   -694.8103008   -167.7615340   -527.0487593
    9.3      -1.52   -694.8102999   -167.7615338   -527.0487592
    9.4      -1.42   -694.8102990   -167.7615335   -527.0487590
    9.5      -1.33   -694.8102983   -167.7615333   -527.0487589
    9.6      -1.24   -694.8102976   -167.7615332   -527.0487588
    9.7      -1.16   -694.8102970   -167.7615330   -527.0487587
    9.8      -1.09   -694.8102965   -167.7615329   -527.0487587
    9.9      -1.02   -694.8102961   -167.7615328   -527.0487586
   10.0      -0.96   -694.8102956   -167.7615327   -527.0487586
                                                  
