                                                  
                                                                                                                                                                                                                                                                
 Result for angle 75
      R      E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   4836.97   -694.7894035   -167.7618504   -527.0495920
    2.6   3255.66   -694.7964369   -167.7618059   -527.0494649
    2.7   2137.65   -694.8013870   -167.7617670   -527.0493598
    2.8   1357.00   -694.8048228   -167.7617328   -527.0492730
    2.9    819.53   -694.8071701   -167.7617027   -527.0492014
    3.0    455.56   -694.8087432   -167.7616765   -527.0491423
    3.1    213.95   -694.8097725   -167.7616541   -527.0490933
    3.2     58.11   -694.8104232   -167.7616355   -527.0490525
    3.3    -39.07   -694.8108161   -167.7616203   -527.0490178
    3.4    -96.18   -694.8110345   -167.7616083   -527.0489879
    3.5   -126.70   -694.8111381   -167.7615988   -527.0489620
    3.6   -139.77   -694.8111673   -167.7615912   -527.0489392
    3.7   -141.79   -694.8111503   -167.7615850   -527.0489192
    3.8   -137.09   -694.8111060   -167.7615797   -527.0489017
    3.9   -128.59   -694.8110471   -167.7615750   -527.0488862
    4.0   -118.20   -694.8109818   -167.7615706   -527.0488726
    4.1   -107.16   -694.8109153   -167.7615665   -527.0488606
    4.2    -96.22   -694.8108509   -167.7615626   -527.0488499
    4.3    -85.83   -694.8107903   -167.7615589   -527.0488403
    4.4    -76.21   -694.8107345   -167.7615555   -527.0488317
    4.5    -67.49   -694.8106840   -167.7615525   -527.0488240
    4.6    -59.66   -694.8106388   -167.7615497   -527.0488172
    4.7    -52.71   -694.8105987   -167.7615473   -527.0488112
    4.8    -46.56   -694.8105634   -167.7615452   -527.0488060
    4.9    -41.15   -694.8105325   -167.7615435   -527.0488015
    5.0    -36.40   -694.8105056   -167.7615420   -527.0487977
    5.1    -32.23   -694.8104821   -167.7615409   -527.0487944
    5.2    -28.59   -694.8104616   -167.7615399   -527.0487915
    5.3    -25.39   -694.8104438   -167.7615392   -527.0487889
    5.4    -22.60   -694.8104281   -167.7615386   -527.0487866
    5.5    -20.14   -694.8104144   -167.7615381   -527.0487845
    5.6    -17.98   -694.8104022   -167.7615377   -527.0487826
    5.7    -16.10   -694.8103914   -167.7615373   -527.0487807
    5.8    -14.44   -694.8103819   -167.7615370   -527.0487791
    5.9    -12.98   -694.8103734   -167.7615367   -527.0487775
    6.0    -11.69   -694.8103658   -167.7615365   -527.0487761
    6.1    -10.55   -694.8103591   -167.7615362   -527.0487748
    6.2     -9.54   -694.8103530   -167.7615360   -527.0487735
    6.3     -8.64   -694.8103475   -167.7615357   -527.0487724
    6.4     -7.84   -694.8103426   -167.7615355   -527.0487713
    6.5     -7.13   -694.8103381   -167.7615353   -527.0487703
    6.6     -6.48   -694.8103340   -167.7615351   -527.0487694
    6.7     -5.91   -694.8103303   -167.7615349   -527.0487685
    6.8     -5.40   -694.8103269   -167.7615347   -527.0487676
    6.9     -4.94   -694.8103238   -167.7615345   -527.0487668
    7.0     -4.52   -694.8103209   -167.7615343   -527.0487660
    7.1     -4.14   -694.8103183   -167.7615341   -527.0487653
    7.2     -3.80   -694.8103159   -167.7615340   -527.0487646
    7.3     -3.50   -694.8103136   -167.7615338   -527.0487639
    7.4     -3.22   -694.8103116   -167.7615337   -527.0487633
    7.5     -2.97   -694.8103098   -167.7615335   -527.0487627
    7.6     -2.74   -694.8103081   -167.7615334   -527.0487622
    7.7     -2.53   -694.8103066   -167.7615333   -527.0487618
    7.8     -2.34   -694.8103052   -167.7615332   -527.0487613
    7.9     -2.17   -694.8103039   -167.7615331   -527.0487609
    8.0     -2.01   -694.8103027   -167.7615330   -527.0487606
    8.1     -1.86   -694.8103017   -167.7615329   -527.0487603
    8.2     -1.73   -694.8103008   -167.7615328   -527.0487600
    8.3     -1.61   -694.8102999   -167.7615328   -527.0487598
    8.4     -1.50   -694.8102991   -167.7615327   -527.0487596
    8.5     -1.40   -694.8102984   -167.7615327   -527.0487594
    8.6     -1.31   -694.8102978   -167.7615326   -527.0487592
    8.7     -1.22   -694.8102972   -167.7615326   -527.0487591
    8.8     -1.14   -694.8102967   -167.7615326   -527.0487590
    8.9     -1.07   -694.8102963   -167.7615325   -527.0487589
    9.0     -1.00   -694.8102958   -167.7615325   -527.0487588
    9.1     -0.94   -694.8102955   -167.7615325   -527.0487587
    9.2     -0.88   -694.8102951   -167.7615325   -527.0487586
    9.3     -0.83   -694.8102948   -167.7615325   -527.0487586
    9.4     -0.78   -694.8102945   -167.7615324   -527.0487586
    9.5     -0.73   -694.8102943   -167.7615324   -527.0487585
    9.6     -0.69   -694.8102940   -167.7615324   -527.0487585
    9.7     -0.65   -694.8102938   -167.7615324   -527.0487585
    9.8     -0.61   -694.8102936   -167.7615324   -527.0487584
    9.9     -0.58   -694.8102935   -167.7615324   -527.0487584
   10.0     -0.55   -694.8102933   -167.7615324   -527.0487584
                                                  
