                                                  
                                                                                                                                                                                                                                                                
 Result for angle 30
      R       E_CP      E_COMPLEX        E_NCO          E_AR
    2.8   21160.47   -694.7161841   -167.7622022   -527.0503961
    2.9   15215.96   -694.7428744   -167.7621068   -527.0500966
    3.0   10751.93   -694.7628872   -167.7620250   -527.0498516
    3.1    7480.23   -694.7775269   -167.7619562   -527.0496531
    3.2    5124.60   -694.7880435   -167.7618989   -527.0494940
    3.3    3451.99   -694.7954904   -167.7618511   -527.0493677
    3.4    2278.99   -694.8006949   -167.7618104   -527.0492684
    3.5    1466.13   -694.8042853   -167.7617750   -527.0491904
    3.6     910.22   -694.8067257   -167.7617439   -527.0491291
    3.7     535.14   -694.8083580   -167.7617161   -527.0490802
    3.8     286.40   -694.8094272   -167.7616915   -527.0490407
    3.9     124.88   -694.8101083   -167.7616695   -527.0490077
    4.0      22.97   -694.8105250   -167.7616501   -527.0489795
    4.1     -38.71   -694.8107642   -167.7616333   -527.0489546
    4.2     -73.63   -694.8108864   -167.7616188   -527.0489321
    4.3     -91.08   -694.8109332   -167.7616067   -527.0489115
    4.4     -97.39   -694.8109334   -167.7615968   -527.0488928
    4.5     -96.87   -694.8109061   -167.7615886   -527.0488761
    4.6     -92.40   -694.8108644   -167.7615819   -527.0488615
    4.7     -85.80   -694.8108161   -167.7615762   -527.0488489
    4.8     -78.28   -694.8107665   -167.7615716   -527.0488383
    4.9     -70.58   -694.8107187   -167.7615676   -527.0488295
    5.0     -63.14   -694.8106742   -167.7615643   -527.0488222
    5.1     -56.20   -694.8106338   -167.7615615   -527.0488162
    5.2     -49.87   -694.8105976   -167.7615592   -527.0488112
    5.3     -44.18   -694.8105655   -167.7615572   -527.0488070
    5.4     -39.12   -694.8105370   -167.7615554   -527.0488033
    5.5     -34.65   -694.8105118   -167.7615539   -527.0487999
    5.6     -30.72   -694.8104893   -167.7615525   -527.0487968
    5.7     -27.26   -694.8104694   -167.7615513   -527.0487939
    5.8     -24.23   -694.8104516   -167.7615501   -527.0487911
    5.9     -21.58   -694.8104357   -167.7615489   -527.0487885
    6.0     -19.25   -694.8104215   -167.7615477   -527.0487861
    6.1     -17.20   -694.8104089   -167.7615466   -527.0487839
    6.2     -15.40   -694.8103975   -167.7615456   -527.0487818
    6.3     -13.84   -694.8103874   -167.7615444   -527.0487799
    6.4     -12.44   -694.8103783   -167.7615434   -527.0487782
    6.5     -11.20   -694.8103701   -167.7615425   -527.0487766
    6.6     -10.11   -694.8103627   -167.7615416   -527.0487750
    6.7      -9.14   -694.8103560   -167.7615408   -527.0487736
    6.8      -8.29   -694.8103500   -167.7615400   -527.0487722
    6.9      -7.52   -694.8103444   -167.7615393   -527.0487709
    7.0      -6.84   -694.8103394   -167.7615386   -527.0487697
    7.1      -6.22   -694.8103348   -167.7615380   -527.0487685
    7.2      -5.68   -694.8103307   -167.7615374   -527.0487674
    7.3      -5.19   -694.8103269   -167.7615369   -527.0487664
    7.4      -4.75   -694.8103234   -167.7615364   -527.0487654
    7.5      -4.35   -694.8103203   -167.7615359   -527.0487646
    7.6      -4.00   -694.8103175   -167.7615355   -527.0487638
    7.7      -3.67   -694.8103149   -167.7615351   -527.0487631
    7.8      -3.38   -694.8103126   -167.7615348   -527.0487624
    7.9      -3.12   -694.8103105   -167.7615345   -527.0487619
    8.0      -2.87   -694.8103087   -167.7615342   -527.0487614
    8.1      -2.65   -694.8103070   -167.7615339   -527.0487609
    8.2      -2.45   -694.8103055   -167.7615337   -527.0487605
    8.3      -2.27   -694.8103041   -167.7615335   -527.0487602
    8.4      -2.10   -694.8103029   -167.7615334   -527.0487599
    8.5      -1.95   -694.8103018   -167.7615332   -527.0487597
    8.6      -1.81   -694.8103008   -167.7615331   -527.0487595
    8.7      -1.69   -694.8102999   -167.7615330   -527.0487593
    8.8      -1.57   -694.8102992   -167.7615329   -527.0487591
    8.9      -1.46   -694.8102985   -167.7615328   -527.0487590
    9.0      -1.37   -694.8102978   -167.7615327   -527.0487589
    9.1      -1.28   -694.8102973   -167.7615327   -527.0487588
    9.2      -1.19   -694.8102968   -167.7615326   -527.0487587
    9.3      -1.12   -694.8102963   -167.7615326   -527.0487586
    9.4      -1.05   -694.8102959   -167.7615325   -527.0487586
    9.5      -0.98   -694.8102955   -167.7615325   -527.0487585
    9.6      -0.92   -694.8102952   -167.7615325   -527.0487585
    9.7      -0.87   -694.8102949   -167.7615325   -527.0487585
    9.8      -0.81   -694.8102946   -167.7615324   -527.0487585
    9.9      -0.77   -694.8102944   -167.7615324   -527.0487584
   10.0      -0.72   -694.8102941   -167.7615324   -527.0487584
                                                  
