                                                  
                                                                                                                                                                                                                                                                
 Result for angle 135
      R       E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   20055.85   -694.7216119   -167.7622329   -527.0507603
    2.6   15152.92   -694.7435353   -167.7621342   -527.0504428
    2.7   11423.96   -694.7601727   -167.7620491   -527.0501749
    2.8    8555.11   -694.7729456   -167.7619759   -527.0499497
    2.9    6334.03   -694.7828140   -167.7619130   -527.0497609
    3.0    4619.40   -694.7904154   -167.7618597   -527.0496032
    3.1    3308.00   -694.7962148   -167.7618152   -527.0494719
    3.2    2318.33   -694.8005787   -167.7617788   -527.0493630
    3.3    1582.95   -694.8038098   -167.7617491   -527.0492731
    3.4    1045.50   -694.8061608   -167.7617251   -527.0491994
    3.5     659.12   -694.8078405   -167.7617047   -527.0491390
    3.6     386.63   -694.8090152   -167.7616872   -527.0490896
    3.7     198.39   -694.8098164   -167.7616712   -527.0490491
    3.8      71.62   -694.8103456   -167.7616565   -527.0490154
    3.9     -11.04   -694.8106798   -167.7616426   -527.0489869
    4.0     -62.49   -694.8108769   -167.7616298   -527.0489623
    4.1     -92.19   -694.8109788   -167.7616181   -527.0489406
    4.2    -107.08   -694.8110168   -167.7616078   -527.0489211
    4.3    -112.18   -694.8110134   -167.7615989   -527.0489034
    4.4    -110.95   -694.8109843   -167.7615914   -527.0488873
    4.5    -105.91   -694.8109404   -167.7615851   -527.0488727
    4.6     -98.70   -694.8108893   -167.7615799   -527.0488597
    4.7     -90.48   -694.8108358   -167.7615754   -527.0488482
    4.8     -81.99   -694.8107830   -167.7615715   -527.0488380
    4.9     -73.69   -694.8107329   -167.7615679   -527.0488292
    5.0     -65.86   -694.8106863   -167.7615647   -527.0488215
    5.1     -58.64   -694.8106439   -167.7615618   -527.0488149
    5.2     -52.09   -694.8106058   -167.7615591   -527.0488093
    5.3     -46.21   -694.8105719   -167.7615567   -527.0488046
    5.4     -40.98   -694.8105419   -167.7615546   -527.0488006
    5.5     -36.35   -694.8105154   -167.7615527   -527.0487971
    5.6     -32.27   -694.8104922   -167.7615511   -527.0487941
    5.7     -28.67   -694.8104717   -167.7615497   -527.0487914
    5.8     -25.52   -694.8104536   -167.7615485   -527.0487889
    5.9     -22.74   -694.8104376   -167.7615474   -527.0487866
    6.0     -20.31   -694.8104234   -167.7615465   -527.0487844
    6.1     -18.16   -694.8104108   -167.7615456   -527.0487824
    6.2     -16.28   -694.8103995   -167.7615448   -527.0487805
    6.3     -14.61   -694.8103894   -167.7615441   -527.0487788
    6.4     -13.14   -694.8103804   -167.7615433   -527.0487772
    6.5     -11.84   -694.8103722   -167.7615426   -527.0487757
    6.6     -10.69   -694.8103649   -167.7615419   -527.0487743
    6.7      -9.66   -694.8103583   -167.7615413   -527.0487730
    6.8      -8.72   -694.8103523   -167.7615408   -527.0487718
    6.9      -7.93   -694.8103468   -167.7615401   -527.0487706
    7.0      -7.20   -694.8103418   -167.7615395   -527.0487696
    7.1      -6.56   -694.8103373   -167.7615389   -527.0487685
    7.2      -5.98   -694.8103332   -167.7615383   -527.0487676
    7.3      -5.47   -694.8103294   -167.7615378   -527.0487666
    7.4      -5.01   -694.8103259   -167.7615373   -527.0487658
    7.5      -4.59   -694.8103227   -167.7615368   -527.0487650
    7.6      -4.22   -694.8103199   -167.7615364   -527.0487642
    7.7      -3.89   -694.8103172   -167.7615360   -527.0487635
    7.8      -3.58   -694.8103148   -167.7615356   -527.0487629
    7.9      -3.30   -694.8103126   -167.7615353   -527.0487623
    8.0      -3.04   -694.8103106   -167.7615349   -527.0487618
    8.1      -2.80   -694.8103087   -167.7615346   -527.0487613
    8.2      -2.59   -694.8103071   -167.7615344   -527.0487609
    8.3      -2.39   -694.8103056   -167.7615341   -527.0487605
    8.4      -2.22   -694.8103042   -167.7615339   -527.0487602
    8.5      -2.06   -694.8103030   -167.7615337   -527.0487599
    8.6      -1.91   -694.8103019   -167.7615335   -527.0487597
    8.7      -1.77   -694.8103009   -167.7615333   -527.0487595
    8.8      -1.65   -694.8103000   -167.7615332   -527.0487593
    8.9      -1.54   -694.8102992   -167.7615331   -527.0487591
    9.0      -1.43   -694.8102985   -167.7615330   -527.0487590
    9.1      -1.34   -694.8102979   -167.7615329   -527.0487589
    9.2      -1.25   -694.8102973   -167.7615328   -527.0487588
    9.3      -1.17   -694.8102968   -167.7615327   -527.0487587
    9.4      -1.10   -694.8102963   -167.7615327   -527.0487587
    9.5      -1.03   -694.8102959   -167.7615326   -527.0487586
    9.6      -0.96   -694.8102955   -167.7615326   -527.0487586
    9.7      -0.90   -694.8102952   -167.7615325   -527.0487585
    9.8      -0.85   -694.8102949   -167.7615325   -527.0487585
    9.9      -0.80   -694.8102946   -167.7615325   -527.0487585
   10.0      -0.75   -694.8102943   -167.7615325   -527.0487584
                                                  
