                                                  
                                                                                                                                                                                                                                                                
 Result for angle 120
      R      E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   7993.38   -694.7755262   -167.7620009   -527.0499458
    2.6   5729.40   -694.7855950   -167.7619384   -527.0497617
    2.7   4049.51   -694.7930395   -167.7618831   -527.0496073
    2.8   2811.72   -694.7985022   -167.7618342   -527.0494791
    2.9   1907.48   -694.8024735   -167.7617913   -527.0493734
    3.0   1254.18   -694.8053267   -167.7617545   -527.0492867
    3.1    788.24   -694.8073477   -167.7617237   -527.0492155
    3.2    460.99   -694.8087549   -167.7616985   -527.0491568
    3.3    235.44   -694.8097138   -167.7616787   -527.0491079
    3.4     83.59   -694.8103483   -167.7616623   -527.0490668
    3.5    -15.50   -694.8107514   -167.7616492   -527.0490315
    3.6    -77.33   -694.8109905   -167.7616373   -527.0490008
    3.7   -113.10   -694.8111158   -167.7616267   -527.0489737
    3.8   -131.22   -694.8111637   -167.7616163   -527.0489496
    3.9   -137.44   -694.8111608   -167.7616067   -527.0489279
    4.0   -136.09   -694.8111258   -167.7615973   -527.0489085
    4.1   -129.98   -694.8110725   -167.7615891   -527.0488912
    4.2   -121.27   -694.8110099   -167.7615814   -527.0488759
    4.3   -111.20   -694.8109443   -167.7615751   -527.0488626
    4.4   -100.80   -694.8108796   -167.7615693   -527.0488511
    4.5    -90.56   -694.8108183   -167.7615647   -527.0488410
    4.6    -80.91   -694.8107615   -167.7615606   -527.0488323
    4.7    -71.96   -694.8107098   -167.7615572   -527.0488247
    4.8    -63.82   -694.8106633   -167.7615544   -527.0488181
    4.9    -56.52   -694.8106219   -167.7615521   -527.0488123
    5.0    -50.01   -694.8105853   -167.7615502   -527.0488073
    5.1    -44.26   -694.8105531   -167.7615485   -527.0488029
    5.2    -39.18   -694.8105248   -167.7615471   -527.0487991
    5.3    -34.72   -694.8104999   -167.7615459   -527.0487958
    5.4    -30.81   -694.8104780   -167.7615449   -527.0487928
    5.5    -27.38   -694.8104588   -167.7615439   -527.0487901
    5.6    -24.36   -694.8104418   -167.7615431   -527.0487876
    5.7    -21.72   -694.8104267   -167.7615424   -527.0487853
    5.8    -19.39   -694.8104133   -167.7615417   -527.0487832
    5.9    -17.35   -694.8104014   -167.7615411   -527.0487813
    6.0    -15.56   -694.8103908   -167.7615404   -527.0487795
    6.1    -13.98   -694.8103814   -167.7615399   -527.0487778
    6.2    -12.58   -694.8103729   -167.7615393   -527.0487763
    6.3    -11.35   -694.8103653   -167.7615388   -527.0487749
    6.4    -10.25   -694.8103585   -167.7615382   -527.0487735
    6.5     -9.26   -694.8103524   -167.7615378   -527.0487723
    6.6     -8.40   -694.8103468   -167.7615374   -527.0487712
    6.7     -7.63   -694.8103418   -167.7615369   -527.0487701
    6.8     -6.95   -694.8103372   -167.7615365   -527.0487691
    6.9     -6.34   -694.8103331   -167.7615362   -527.0487681
    7.0     -5.80   -694.8103294   -167.7615358   -527.0487672
    7.1     -5.30   -694.8103259   -167.7615355   -527.0487663
    7.2     -4.85   -694.8103227   -167.7615352   -527.0487655
    7.3     -4.44   -694.8103198   -167.7615349   -527.0487647
    7.4     -4.08   -694.8103172   -167.7615346   -527.0487640
    7.5     -3.75   -694.8103148   -167.7615344   -527.0487633
    7.6     -3.44   -694.8103126   -167.7615342   -527.0487627
    7.7     -3.17   -694.8103106   -167.7615340   -527.0487622
    7.8     -2.93   -694.8103088   -167.7615338   -527.0487617
    7.9     -2.70   -694.8103071   -167.7615336   -527.0487612
    8.0     -2.50   -694.8103057   -167.7615334   -527.0487608
    8.1     -2.31   -694.8103043   -167.7615333   -527.0487605
    8.2     -2.14   -694.8103031   -167.7615332   -527.0487602
    8.3     -1.99   -694.8103020   -167.7615331   -527.0487599
    8.4     -1.85   -694.8103011   -167.7615330   -527.0487597
    8.5     -1.72   -694.8103002   -167.7615329   -527.0487595
    8.6     -1.60   -694.8102994   -167.7615328   -527.0487593
    8.7     -1.49   -694.8102987   -167.7615327   -527.0487592
    8.8     -1.39   -694.8102980   -167.7615327   -527.0487590
    8.9     -1.30   -694.8102975   -167.7615326   -527.0487589
    9.0     -1.21   -694.8102969   -167.7615326   -527.0487588
    9.1     -1.13   -694.8102965   -167.7615326   -527.0487587
    9.2     -1.06   -694.8102960   -167.7615325   -527.0487587
    9.3     -0.99   -694.8102956   -167.7615325   -527.0487586
    9.4     -0.93   -694.8102953   -167.7615325   -527.0487586
    9.5     -0.88   -694.8102950   -167.7615325   -527.0487585
    9.6     -0.82   -694.8102947   -167.7615324   -527.0487585
    9.7     -0.77   -694.8102944   -167.7615324   -527.0487585
    9.8     -0.73   -694.8102942   -167.7615324   -527.0487584
    9.9     -0.69   -694.8102940   -167.7615324   -527.0487584
   10.0     -0.65   -694.8102938   -167.7615324   -527.0487584
                                                  
