                                                  
                                                                                                                                                                                                                                                                
 Result for angle 150
      R       E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   47842.14   -694.5969277   -167.7626596   -527.0522530
    2.6   36685.54   -694.6470256   -167.7624924   -527.0516849
    2.7   28311.31   -694.6845611   -167.7623478   -527.0512092
    2.8   22047.25   -694.7125868   -167.7622256   -527.0508159
    2.9   17254.31   -694.7339988   -167.7621251   -527.0504901
    3.0   13414.18   -694.7511423   -167.7620438   -527.0502179
    3.1   10241.53   -694.7653024   -167.7619774   -527.0499889
    3.2    7640.51   -694.7769043   -167.7619218   -527.0497951
    3.3    5569.24   -694.7861300   -167.7618743   -527.0496309
    3.4    3970.74   -694.7932339   -167.7618337   -527.0494922
    3.5    2768.75   -694.7985596   -167.7617991   -527.0493759
    3.6    1884.77   -694.8024615   -167.7617694   -527.0492797
    3.7    1246.60   -694.8052653   -167.7617440   -527.0492012
    3.8     793.73   -694.8072434   -167.7617222   -527.0491377
    3.9     477.85   -694.8086128   -167.7617034   -527.0490866
    4.0     261.62   -694.8095407   -167.7616873   -527.0490455
    4.1     116.79   -694.8101529   -167.7616733   -527.0490117
    4.2      22.45   -694.8105423   -167.7616611   -527.0489835
    4.3     -36.60   -694.8107761   -167.7616502   -527.0489592
    4.4     -71.46   -694.8109032   -167.7616401   -527.0489375
    4.5     -89.94   -694.8109585   -167.7616310   -527.0489177
    4.6     -97.62   -694.8109669   -167.7616226   -527.0488995
    4.7     -98.39   -694.8109459   -167.7616147   -527.0488828
    4.8     -94.90   -694.8109076   -167.7616073   -527.0488679
    4.9     -88.99   -694.8108605   -167.7616003   -527.0488547
    5.0     -81.91   -694.8108102   -167.7615937   -527.0488433
    5.1     -74.40   -694.8107601   -167.7615875   -527.0488336
    5.2     -66.98   -694.8107123   -167.7615818   -527.0488253
    5.3     -59.91   -694.8106680   -167.7615767   -527.0488183
    5.4     -53.37   -694.8106276   -167.7615721   -527.0488123
    5.5     -47.43   -694.8105916   -167.7615682   -527.0488073
    5.6     -42.09   -694.8105596   -167.7615649   -527.0488029
    5.7     -37.34   -694.8105315   -167.7615622   -527.0487992
    5.8     -33.14   -694.8105069   -167.7615599   -527.0487960
    5.9     -29.44   -694.8104854   -167.7615582   -527.0487931
    6.0     -26.19   -694.8104665   -167.7615567   -527.0487905
    6.1     -23.33   -694.8104499   -167.7615555   -527.0487881
    6.2     -20.82   -694.8104352   -167.7615544   -527.0487859
    6.3     -18.61   -694.8104221   -167.7615534   -527.0487839
    6.4     -16.65   -694.8104103   -167.7615525   -527.0487820
    6.5     -14.95   -694.8103998   -167.7615515   -527.0487802
    6.6     -13.43   -694.8103903   -167.7615505   -527.0487786
    6.7     -12.10   -694.8103816   -167.7615495   -527.0487770
    6.8     -10.91   -694.8103738   -167.7615484   -527.0487756
    6.9      -9.87   -694.8103666   -167.7615474   -527.0487742
    7.0      -8.93   -694.8103600   -167.7615464   -527.0487730
    7.1      -8.10   -694.8103540   -167.7615453   -527.0487718
    7.2      -7.36   -694.8103485   -167.7615444   -527.0487706
    7.3      -6.69   -694.8103435   -167.7615435   -527.0487695
    7.4      -6.10   -694.8103388   -167.7615425   -527.0487685
    7.5      -5.59   -694.8103345   -167.7615416   -527.0487675
    7.6      -5.10   -694.8103306   -167.7615408   -527.0487665
    7.7      -4.68   -694.8103269   -167.7615400   -527.0487656
    7.8      -4.29   -694.8103236   -167.7615392   -527.0487648
    7.9      -3.95   -694.8103206   -167.7615385   -527.0487640
    8.0      -3.64   -694.8103178   -167.7615379   -527.0487633
    8.1      -3.36   -694.8103153   -167.7615373   -527.0487627
    8.2      -3.10   -694.8103130   -167.7615367   -527.0487621
    8.3      -2.86   -694.8103108   -167.7615362   -527.0487616
    8.4      -2.64   -694.8103089   -167.7615357   -527.0487611
    8.5      -2.44   -694.8103072   -167.7615353   -527.0487607
    8.6      -2.26   -694.8103056   -167.7615349   -527.0487604
    8.7      -2.10   -694.8103042   -167.7615346   -527.0487601
    8.8      -1.95   -694.8103029   -167.7615343   -527.0487598
    8.9      -1.81   -694.8103018   -167.7615340   -527.0487596
    9.0      -1.68   -694.8103008   -167.7615337   -527.0487594
    9.1      -1.57   -694.8102999   -167.7615335   -527.0487592
    9.2      -1.46   -694.8102991   -167.7615333   -527.0487591
    9.3      -1.36   -694.8102983   -167.7615332   -527.0487589
    9.4      -1.28   -694.8102977   -167.7615330   -527.0487588
    9.5      -1.19   -694.8102971   -167.7615329   -527.0487588
    9.6      -1.12   -694.8102966   -167.7615328   -527.0487587
    9.7      -1.05   -694.8102961   -167.7615328   -527.0487586
    9.8      -0.98   -694.8102957   -167.7615327   -527.0487586
    9.9      -0.92   -694.8102953   -167.7615326   -527.0487585
   10.0      -0.87   -694.8102950   -167.7615326   -527.0487585
                                                  
