                                                  
                                                                                                                                                                                                                                                                
 Result for angle 45
      R       E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   23248.73   -694.7068236   -167.7622393   -527.0505132
    2.6   17107.90   -694.7343918   -167.7621389   -527.0502022
    2.7   12348.74   -694.7557332   -167.7620514   -527.0499469
    2.8    8767.39   -694.7717688   -167.7619759   -527.0497401
    2.9    6126.62   -694.7835710   -167.7619121   -527.0495738
    3.0    4211.08   -694.7921125   -167.7618590   -527.0494405
    3.1    2840.28   -694.7982070   -167.7618148   -527.0493335
    3.2    1871.83   -694.8024958   -167.7617773   -527.0492472
    3.3    1196.30   -694.8054711   -167.7617448   -527.0491771
    3.4     731.80   -694.8075015   -167.7617160   -527.0491198
    3.5     417.30   -694.8088614   -167.7616901   -527.0490727
    3.6     208.37   -694.8097509   -167.7616666   -527.0490337
    3.7      72.89   -694.8103141   -167.7616453   -527.0490009
    3.8     -12.02   -694.8106542   -167.7616266   -527.0489728
    3.9     -62.62   -694.8108444   -167.7616107   -527.0489484
    4.0     -90.30   -694.8109359   -167.7615978   -527.0489267
    4.1    -103.01   -694.8109644   -167.7615877   -527.0489074
    4.2    -106.23   -694.8109541   -167.7615798   -527.0488902
    4.3    -103.63   -694.8109211   -167.7615740   -527.0488750
    4.4     -97.73   -694.8108762   -167.7615694   -527.0488616
    4.5     -90.13   -694.8108263   -167.7615658   -527.0488498
    4.6     -81.91   -694.8107756   -167.7615627   -527.0488397
    4.7     -73.68   -694.8107267   -167.7615600   -527.0488310
    4.8     -65.83   -694.8106810   -167.7615575   -527.0488236
    4.9     -58.56   -694.8106392   -167.7615551   -527.0488173
    5.0     -51.95   -694.8106016   -167.7615530   -527.0488119
    5.1     -46.02   -694.8105679   -167.7615510   -527.0488073
    5.2     -40.75   -694.8105380   -167.7615492   -527.0488032
    5.3     -36.09   -694.8105115   -167.7615476   -527.0487995
    5.4     -31.98   -694.8104881   -167.7615461   -527.0487962
    5.5     -28.38   -694.8104673   -167.7615449   -527.0487932
    5.6     -25.22   -694.8104490   -167.7615437   -527.0487903
    5.7     -22.45   -694.8104327   -167.7615428   -527.0487877
    5.8     -20.01   -694.8104184   -167.7615419   -527.0487853
    5.9     -17.88   -694.8104056   -167.7615411   -527.0487831
    6.0     -16.00   -694.8103943   -167.7615404   -527.0487811
    6.1     -14.35   -694.8103843   -167.7615397   -527.0487792
    6.2     -12.89   -694.8103753   -167.7615391   -527.0487775
    6.3     -11.61   -694.8103673   -167.7615385   -527.0487759
    6.4     -10.47   -694.8103601   -167.7615380   -527.0487744
    6.5      -9.46   -694.8103537   -167.7615375   -527.0487730
    6.6      -8.57   -694.8103478   -167.7615371   -527.0487717
    6.7      -7.78   -694.8103426   -167.7615366   -527.0487705
    6.8      -7.07   -694.8103378   -167.7615362   -527.0487694
    6.9      -6.43   -694.8103334   -167.7615358   -527.0487683
    7.0      -5.87   -694.8103295   -167.7615355   -527.0487673
    7.1      -5.35   -694.8103259   -167.7615352   -527.0487663
    7.2      -4.90   -694.8103227   -167.7615349   -527.0487654
    7.3      -4.49   -694.8103197   -167.7615346   -527.0487646
    7.4      -4.12   -694.8103170   -167.7615344   -527.0487639
    7.5      -3.78   -694.8103146   -167.7615342   -527.0487632
    7.6      -3.48   -694.8103124   -167.7615340   -527.0487626
    7.7      -3.21   -694.8103104   -167.7615338   -527.0487621
    7.8      -2.96   -694.8103086   -167.7615336   -527.0487616
    7.9      -2.73   -694.8103070   -167.7615334   -527.0487611
    8.0      -2.52   -694.8103055   -167.7615333   -527.0487608
    8.1      -2.33   -694.8103042   -167.7615332   -527.0487604
    8.2      -2.16   -694.8103030   -167.7615331   -527.0487601
    8.3      -2.00   -694.8103020   -167.7615330   -527.0487599
    8.4      -1.86   -694.8103010   -167.7615329   -527.0487596
    8.5      -1.73   -694.8103001   -167.7615328   -527.0487594
    8.6      -1.61   -694.8102993   -167.7615327   -527.0487593
    8.7      -1.50   -694.8102986   -167.7615327   -527.0487591
    8.8      -1.40   -694.8102980   -167.7615326   -527.0487590
    8.9      -1.30   -694.8102974   -167.7615326   -527.0487589
    9.0      -1.22   -694.8102969   -167.7615326   -527.0487588
    9.1      -1.14   -694.8102964   -167.7615325   -527.0487587
    9.2      -1.07   -694.8102960   -167.7615325   -527.0487587
    9.3      -1.00   -694.8102956   -167.7615325   -527.0487586
    9.4      -0.94   -694.8102953   -167.7615325   -527.0487586
    9.5      -0.88   -694.8102950   -167.7615324   -527.0487585
    9.6      -0.83   -694.8102947   -167.7615324   -527.0487585
    9.7      -0.78   -694.8102944   -167.7615324   -527.0487585
    9.8      -0.73   -694.8102942   -167.7615324   -527.0487584
    9.9      -0.69   -694.8102940   -167.7615324   -527.0487584
   10.0      -0.65   -694.8102938   -167.7615324   -527.0487584
                                                  
