77306.7300	68447.4954	59780.2846	51392.3800	43371.0643	35803.6201	28777.3300	22399.1258	16854.5364	12348.7400	9006.2747	6629.1186	4938.6100	3690.8018	2780.6061	2137.6500	1698.1278	1424.5039	1285.8100	1261.8307	1375.3614	1659.9500	2155.5879	2928.0388	4049.5100	5636.4249	7982.0729	11423.9600	16174.0068	21941.7922	28311.3100	35151.0729	43467.6701	54552.2100	69695.8010	90189.5516	117324.5700
55618.0900	52215.1190	47112.8292	40883.7200	34100.2908	27335.0410	21160.4700	16032.8389	11943.4557	8767.3900	6375.5487	4622.1876	3357.4000	2444.6712	1801.0556	1357.0000	1051.4832	857.6131	757.0300	738.7761	821.5019	1031.2600	1398.8610	1974.1475	2811.7200	4007.3255	5821.2960	8555.1100	12390.1293	17027.2496	22047.2500	27279.1877	33545.2319	41915.8300	53461.4292	69252.4767	90359.4200
39475.5100	37645.6048	34273.7803	29852.4700	24874.1075	19831.1263	15215.9600	11419.7435	8428.4165	6126.6200	4400.0446	3138.5786	2233.1600	1584.2437	1130.3535	819.5300	606.2619	470.8293	399.9600	386.0990	444.5590	596.3700	865.7200	1289.4302	1907.4800	2797.1291	4184.7587	6334.0300	9407.3453	13162.0699	17254.3100	21517.4894	26494.3022	32904.7600	41468.8745	52906.6572	67938.1200
27711.6400	26612.9849	24330.5984	21233.8900	17692.2694	14075.1462	10751.9300	8016.8919	5863.7491	4211.0800	2977.5299	2082.0105	1443.5000	988.2270	671.4206	455.5600	307.7958	213.9635	164.5700	154.3180	194.6938	301.3800	492.9498	799.5404	1254.1800	1918.8866	2971.6375	4619.4000	7002.9099	9997.9771	13414.1800	17144.9968	21419.5046	26550.6800	32851.4999	40634.9410	50213.9800
19263.6800	18567.6241	17011.4097	14859.8000	12377.5581	9829.4470	7480.2300	5541.5852	4012.8508	2840.2800	1969.1653	1340.9559	896.1400	580.6509	362.2015	213.9500	112.4660	47.9664	14.0800	7.1678	34.5202	106.1600	235.8585	452.3807	788.2400	1293.3952	2087.5866	3308.0000	5067.4916	7381.5989	10241.5300	13630.3840	17498.8254	21789.4100	26444.6935	31407.2315	36619.5800
13263.8600	12811.4591	11749.5406	10264.0000	8540.7327	6765.6342	5124.6000	3766.7474	2694.0817	1871.8300	1263.8336	828.3897	522.4100	306.7962	158.4116	58.1100	-10.7467	-54.7642	-78.0400	-82.9849	-65.2626	-18.8500	66.2846	216.2066	460.9900	840.0823	1430.4242	2318.3300	3590.4820	5335.0345	7640.5100	10540.7996	13851.2683	17332.6500	20745.6784	23851.0871	26409.6100
9041.5500	8743.3354	8019.9196	7000.1900	5813.0337	4587.3380	3451.9900	2510.6694	1766.2255	1196.3000	777.1142	479.2077	271.7000	126.6054	27.5188	-39.0700	-84.8803	-114.4684	-130.6000	-134.9040	-124.4623	-95.2200	-39.8046	62.4281	235.4400	509.2737	938.2949	1582.9500	2509.3913	3806.5942	5569.2400	7834.7711	10411.6749	13051.2000	15504.5951	17523.1089	18857.9900
6093.9500	5896.2957	5405.2168	4709.3300	3897.2521	3057.5999	2278.9900	1632.8622	1121.9475	731.8000	446.7207	245.9986	107.6700	11.8603	-52.9472	-96.1800	-126.0134	-145.6149	-156.9000	-160.9793	-155.7438	-138.2800	-103.1936	-35.1690	83.5900	275.4448	581.0186	1045.5000	1718.7614	2669.4109	3970.7400	5650.1664	7551.6109	9473.1200	11212.7402	12568.5180	13338.5000
4052.6600	3921.4296	3589.5630	3117.5800	2566.0003	1995.3438	1466.1300	1027.2105	680.7638	417.3000	226.3371	93.4247	3.1200	-58.5427	-99.6221	-126.7000	-145.4840	-158.1851	-166.1400	-170.1049	-168.5138	-159.2200	-138.2933	-94.6693	-15.5000	115.5945	329.1215	659.1200	1142.6075	1828.5145	2768.7500	3981.3585	5348.9275	6720.1800	7943.8392	8868.6281	9343.2700
2650.6300	2563.4011	2340.3493	2022.4900	1650.8384	1266.4100	910.2200	615.3999	383.5459	208.3700	82.8281	-3.1497	-60.3900	-98.6754	-123.6140	-139.7700	-151.1005	-159.1335	-164.7900	-168.5805	-169.3742	-165.6300	-154.5316	-128.1622	-77.3300	9.8520	156.0512	386.6300	728.6732	1216.1545	1884.7700	2746.0339	3714.7325	4681.4700	5536.8509	6171.4794	6475.9600
